target,internal.name
Solyc01g065840.4.1,F-Box-like*
Solyc01g095320.4.1,BAG6-like*
Solyc01g101070.3.1,ABCTR-like*
Solyc01g102960.3.1,HSP22-1*
Solyc01g104740.3.1,mbf1-er24
Solyc02g030450.3.1,RHD3*
Solyc02g062130.5.1,FNR*
Solyc02g079020.4.1,VA1*
Solyc02g080130.5.1,DnaJ50*
Solyc03g063760.4.1,SMUBP-2*
Solyc03g082420.3.1,HSP21
Solyc03g083190.3.1,GMI1*
Solyc03g097960.1.1,unknown-1*
Solyc03g113590.3.1,AF516366
Solyc03g113930.3.1,HSP22-2*
Solyc03g117440.3.1,SIDEAD14
Solyc04g011440.4.1,er21
Solyc04g014480.3.1,HSP15.7*
Solyc04g054290.3.1,PCMP*
Solyc05g014280.4.1,vis1
Solyc05g055010.4.1,RBP42*
Solyc06g011370.4.1,ClpB*
Solyc06g036290.3.1,hsp90
Solyc06g076520.1.1,HSPI-1*
Solyc06g076560.2.1,HSPI-2*
Solyc06g076670.3.1,RNBP*
Solyc06g150138.1.1,unknown-2*
Solyc07g065410.1.1,unknown-3*
Solyc08g005420.3.1,CDC20.2*
Solyc08g006150.3.1,GGCT*
Solyc08g062340.3.1,HSP17.9*
Solyc08g066940.4.1,NPF1.2*
Solyc08g067960.3.1,ZFP*
Solyc08g078700.3.1,mtshp
Solyc09g007270.3.1,APX*
Solyc09g008970.1.1,unknown-4*
Solyc09g011410.4.1,COPT*
Solyc09g015000.4.1,HSPI-3*
Solyc10g006610.5.1,AUXGH3*
Solyc10g081480.2.1,unknown-5*
Solyc10g084400.2.1,GST*
Solyc11g020040.2.1,hsp70
Solyc11g066100.2.1,hsp70-2*
Solyc11g066830.2.1,SlC3H68
Solyc11g070060.2.1,unknown-6*
Solyc11g071830.2.1,DnaJ-like*
Solyc01g102950.3.1,LCYB*
Solyc01g103760.3.1,MGTRNIPA*
Solyc03g096950.4.1,SIVGT2
Solyc04g080850.3.1,TXN*
Solyc06g082710.5.1,KHP*
Solyc07g006830.4.1,CBP*
Solyc08g063090.2.1,FAD*
Solyc09g091510.3.1,chs1
Solyc10g011810.4.1,D8FAD*
Solyc10g012410.3.1,RSMG*
Solyc12g055930.3.1,UGE4*
