"GO.ID","Term","Annotated","Significant","Expected","classicFisher","q_value"
"GO:0009628","response to abiotic stimulus",4953,4294,3353.32,1e-30,1.13386581469649e-29
"GO:0042221","response to chemical",7726,6230,5230.73,1e-30,1.13386581469649e-29
"GO:1901700","response to oxygen-containing compound",4357,3711,2949.82,1e-30,1.13386581469649e-29
"GO:0044281","small molecule metabolic process",6862,5575,4645.77,1e-30,1.13386581469649e-29
"GO:0010033","response to organic substance",5165,4296,3496.85,1e-30,1.13386581469649e-29
"GO:1901564","organonitrogen compound metabolic proces...",12830,9790,8686.28,1e-30,1.13386581469649e-29
"GO:1901566","organonitrogen compound biosynthetic pro...",4115,3482,2785.97,1e-30,1.13386581469649e-29
"GO:0006796","phosphate-containing compound metabolic ...",6378,5164,4318.09,1e-30,1.13386581469649e-29
"GO:0006793","phosphorus metabolic process",6444,5207,4362.77,1e-30,1.13386581469649e-29
"GO:1901135","carbohydrate derivative metabolic proces...",3041,2642,2058.84,1e-30,1.13386581469649e-29
"GO:0044283","small molecule biosynthetic process",3445,2949,2332.36,1e-30,1.13386581469649e-29
"GO:0043436","oxoacid metabolic process",3839,3237,2599.11,1e-30,1.13386581469649e-29
"GO:0009605","response to external stimulus",4269,3559,2890.24,1e-30,1.13386581469649e-29
"GO:0006082","organic acid metabolic process",3931,3302,2661.4,1e-30,1.13386581469649e-29
"GO:0019637","organophosphate metabolic process",2737,2384,1853.03,1e-30,1.13386581469649e-29
"GO:0019752","carboxylic acid metabolic process",3678,3090,2490.11,1e-30,1.13386581469649e-29
"GO:0010035","response to inorganic substance",2650,2298,1794.13,1e-30,1.13386581469649e-29
"GO:0009791","post-embryonic development",4032,3347,2729.78,1e-30,1.13386581469649e-29
"GO:1901575","organic substance catabolic process",4535,3716,3070.33,1e-30,1.13386581469649e-29
"GO:0099402","plant organ development",2572,2230,1741.32,1e-30,1.13386581469649e-29
"GO:0048608","reproductive structure development",3048,2591,2063.58,1e-30,1.13386581469649e-29
"GO:0061458","reproductive system development",3048,2591,2063.58,1e-30,1.13386581469649e-29
"GO:0003006","developmental process involved in reprod...",3920,3250,2653.95,1e-30,1.13386581469649e-29
"GO:0006811","ion transport",4850,3935,3283.59,1e-30,1.13386581469649e-29
"GO:0022414","reproductive process",4636,3775,3138.71,1e-30,1.13386581469649e-29
"GO:0044085","cellular component biogenesis",3678,3056,2490.11,1e-30,1.13386581469649e-29
"GO:0009056","catabolic process",5367,4306,3633.61,1e-30,1.13386581469649e-29
"GO:0009314","response to radiation",2141,1878,1449.52,1e-30,1.13386581469649e-29
"GO:0032787","monocarboxylic acid metabolic process",2557,2201,1731.16,1e-30,1.13386581469649e-29
"GO:0043207","response to external biotic stimulus",3075,2595,2081.86,1e-30,1.13386581469649e-29
"GO:0051707","response to other organism",3070,2590,2078.48,1e-30,1.13386581469649e-29
"GO:0048367","shoot system development",2366,2050,1601.85,1e-30,1.13386581469649e-29
"GO:0009416","response to light stimulus",2044,1798,1383.85,1e-30,1.13386581469649e-29
"GO:0044282","small molecule catabolic process",1878,1656,1271.46,1e-30,1.13386581469649e-29
"GO:0006820","anion transport",3701,3046,2505.68,1e-30,1.13386581469649e-29
"GO:0000003","reproduction",4930,3954,3337.75,1e-30,1.13386581469649e-29
"GO:0005975","carbohydrate metabolic process",3211,2670,2173.94,1e-30,1.13386581469649e-29
"GO:0009266","response to temperature stimulus",1651,1469,1117.77,1e-30,1.13386581469649e-29
"GO:0009725","response to hormone",3459,2851,2341.84,1e-30,1.13386581469649e-29
"GO:0044419","biological process involved in interspec...",3263,2704,2209.15,1e-30,1.13386581469649e-29
"GO:0009607","response to biotic stimulus",3249,2693,2199.67,1e-30,1.13386581469649e-29
"GO:0009719","response to endogenous stimulus",3609,2961,2443.4,1e-30,1.13386581469649e-29
"GO:0048731","system development",6506,5076,4404.75,1e-30,1.13386581469649e-29
"GO:0006810","transport",7662,5901,5187.4,1e-30,1.13386581469649e-29
"GO:0016053","organic acid biosynthetic process",1839,1610,1245.06,1e-30,1.13386581469649e-29
"GO:0071705","nitrogen compound transport",3166,2624,2143.47,1e-30,1.13386581469649e-29
"GO:0046394","carboxylic acid biosynthetic process",1683,1486,1139.44,1e-30,1.13386581469649e-29
"GO:0098542","defense response to other organism",2289,1957,1549.72,1e-30,1.13386581469649e-29
"GO:0006950","response to stress",9673,7313,6548.9,1e-30,1.13386581469649e-29
"GO:0071702","organic substance transport",3314,2732,2243.67,1e-30,1.13386581469649e-29
"GO:0048646","anatomical structure formation involved ...",2233,1909,1511.81,1e-30,1.13386581469649e-29
"GO:0044248","cellular catabolic process",4164,3355,2819.15,1e-30,1.13386581469649e-29
"GO:0008610","lipid biosynthetic process",2033,1751,1376.4,1e-30,1.13386581469649e-29
"GO:0050896","response to stimulus",17671,12790,11963.78,1e-30,1.13386581469649e-29
"GO:0051234","establishment of localization",8172,6235,5532.68,1e-30,1.13386581469649e-29
"GO:0044255","cellular lipid metabolic process",2545,2141,1723.04,1e-30,1.13386581469649e-29
"GO:0040007","growth",1973,1700,1335.78,1e-30,1.13386581469649e-29
"GO:0007275","multicellular organism development",9665,7274,6543.48,1e-30,1.13386581469649e-29
"GO:0006970","response to osmotic stress",1690,1475,1144.18,1e-30,1.13386581469649e-29
"GO:1901615","organic hydroxy compound metabolic proce...",1517,1337,1027.05,1e-30,1.13386581469649e-29
"GO:0022607","cellular component assembly",2427,2037,1643.15,1e-30,1.13386581469649e-29
"GO:0006790","sulfur compound metabolic process",1249,1122,845.61,1e-30,1.13386581469649e-29
"GO:0009117","nucleotide metabolic process",1787,1545,1209.85,1e-30,1.13386581469649e-29
"GO:0042886","amide transport",2301,1939,1557.84,1e-30,1.13386581469649e-29
"GO:0055086","nucleobase-containing small molecule met...",1963,1679,1329.01,1e-30,1.13386581469649e-29
"GO:0006753","nucleoside phosphate metabolic process",1806,1557,1222.71,1e-30,1.13386581469649e-29
"GO:0051649","establishment of localization in cell",2805,2317,1899.07,1e-30,1.13386581469649e-29
"GO:0009888","tissue development",2420,2025,1638.41,1e-30,1.13386581469649e-29
"GO:0009651","response to salt stress",1567,1369,1060.9,1e-30,1.13386581469649e-29
"GO:0071310","cellular response to organic substance",2494,2080,1688.51,1e-30,1.13386581469649e-29
"GO:0015833","peptide transport",2278,1916,1542.27,1e-30,1.13386581469649e-29
"GO:0033993","response to lipid",2330,1955,1577.48,1e-30,1.13386581469649e-29
"GO:0070887","cellular response to chemical stimulus",3232,2631,2188.16,1e-30,1.13386581469649e-29
"GO:0019693","ribose phosphate metabolic process",1435,1264,971.54,1e-30,1.13386581469649e-29
"GO:0009259","ribonucleotide metabolic process",1434,1263,970.86,1e-30,1.13386581469649e-29
"GO:0090407","organophosphate biosynthetic process",1442,1269,976.28,1e-30,1.13386581469649e-29
"GO:0033036","macromolecule localization",2957,2425,2001.97,1e-30,1.13386581469649e-29
"GO:0006886","intracellular protein transport",1724,1487,1167.2,1e-30,1.13386581469649e-29
"GO:0048589","developmental growth",1527,1333,1033.82,1e-30,1.13386581469649e-29
"GO:0050793","regulation of developmental process",1707,1473,1155.69,1e-30,1.13386581469649e-29
"GO:0090567","reproductive shoot system development",1568,1364,1061.58,1e-30,1.13386581469649e-29
"GO:0009743","response to carbohydrate",1301,1154,880.81,1e-30,1.13386581469649e-29
"GO:1905392","plant organ morphogenesis",1470,1287,995.23,1e-30,1.13386581469649e-29
"GO:0006629","lipid metabolic process",3648,2928,2469.8,1e-30,1.13386581469649e-29
"GO:0009908","flower development",1546,1344,1046.69,1e-30,1.13386581469649e-29
"GO:0048827","phyllome development",1481,1292,1002.68,1e-30,1.13386581469649e-29
"GO:0015031","protein transport",2133,1794,1444.1,1e-30,1.13386581469649e-29
"GO:0048856","anatomical structure development",10879,8064,7365.4,1e-30,1.13386581469649e-29
"GO:0070727","cellular macromolecule localization",1984,1679,1343.23,1e-30,1.13386581469649e-29
"GO:0034613","cellular protein localization",1917,1625,1297.86,1e-30,1.13386581469649e-29
"GO:0046907","intracellular transport",2367,1966,1602.53,1e-30,1.13386581469649e-29
"GO:0045184","establishment of protein localization",2189,1831,1482.02,1e-30,1.13386581469649e-29
"GO:1901576","organic substance biosynthetic process",13965,10177,9454.71,1e-30,1.13386581469649e-29
"GO:0044267","cellular protein metabolic process",8851,6633,5992.38,1e-30,1.13386581469649e-29
"GO:0006605","protein targeting",1231,1087,833.42,1e-30,1.13386581469649e-29
"GO:0008104","protein localization",2416,1993,1635.7,1e-30,1.13386581469649e-29
"GO:0010038","response to metal ion",1146,1015,775.88,1e-30,1.13386581469649e-29
"GO:0051179","localization",9546,7096,6462.92,1e-30,1.13386581469649e-29
"GO:1901701","cellular response to oxygen-containing c...",2013,1683,1362.86,1e-30,1.13386581469649e-29
"GO:2000026","regulation of multicellular organismal d...",1177,1038,796.86,1e-30,1.13386581469649e-29
"GO:0009653","anatomical structure morphogenesis",4060,3197,2748.74,1e-30,1.13386581469649e-29
"GO:1901657","glycosyl compound metabolic process",1132,1002,766.4,1e-30,1.13386581469649e-29
"GO:0046686","response to cadmium ion",860,784,582.24,1e-30,1.13386581469649e-29
"GO:0016049","cell growth",1292,1127,874.72,1e-30,1.13386581469649e-29
"GO:1901605","alpha-amino acid metabolic process",920,832,622.87,1e-30,1.13386581469649e-29
"GO:0006090","pyruvate metabolic process",598,566,404.86,1e-30,1.13386581469649e-29
"GO:0071840","cellular component organization or bioge...",10348,7639,7005.9,1e-30,1.13386581469649e-29
"GO:1901565","organonitrogen compound catabolic proces...",2688,2180,1819.85,1e-30,1.13386581469649e-29
"GO:0072521","purine-containing compound metabolic pro...",1461,1253,989.14,1e-30,1.13386581469649e-29
"GO:0072330","monocarboxylic acid biosynthetic process",1118,985,756.92,1e-30,1.13386581469649e-29
"GO:0009150","purine ribonucleotide metabolic process",1261,1096,853.73,1e-30,1.13386581469649e-29
"GO:0009409","response to cold",1084,957,733.9,1e-30,1.13386581469649e-29
"GO:0019538","protein metabolic process",9892,7311,6697.17,1e-30,1.13386581469649e-29
"GO:0016051","carbohydrate biosynthetic process",1397,1201,945.81,1e-30,1.13386581469649e-29
"GO:1901617","organic hydroxy compound biosynthetic pr...",984,877,666.2,1e-30,1.13386581469649e-29
"GO:0010154","fruit development",1447,1239,979.66,1e-30,1.13386581469649e-29
"GO:0097305","response to alcohol",1585,1344,1073.09,1e-30,1.13386581469649e-29
"GO:0006163","purine nucleotide metabolic process",1410,1209,954.61,1e-30,1.13386581469649e-29
"GO:0006520","cellular amino acid metabolic process",1404,1204,950.55,1e-30,1.13386581469649e-29
"GO:0044272","sulfur compound biosynthetic process",739,678,500.32,1e-30,1.13386581469649e-29
"GO:0010016","shoot system morphogenesis",797,725,539.59,1e-30,1.13386581469649e-29
"GO:0090558","plant epidermis development",1141,998,772.49,1e-30,1.13386581469649e-29
"GO:0051704","multi-organism process",3185,2535,2156.34,1e-30,1.13386581469649e-29
"GO:0048316","seed development",1305,1125,883.52,1e-30,1.13386581469649e-29
"GO:0006952","defense response",3292,2613,2228.78,1e-30,1.13386581469649e-29
"GO:1901137","carbohydrate derivative biosynthetic pro...",1483,1261,1004.03,1e-30,1.13386581469649e-29
"GO:0065003","protein-containing complex assembly",1590,1341,1076.48,1e-30,1.13386581469649e-29
"GO:0032870","cellular response to hormone stimulus",1933,1601,1308.7,1e-30,1.13386581469649e-29
"GO:0022622","root system development",1217,1053,823.94,1e-30,1.13386581469649e-29
"GO:1901361","organic cyclic compound catabolic proces...",1388,1185,939.72,1e-30,1.13386581469649e-29
"GO:0048364","root development",1215,1051,822.59,1e-30,1.13386581469649e-29
"GO:0051641","cellular localization",3477,2741,2354.03,1e-30,1.13386581469649e-29
"GO:0008652","cellular amino acid biosynthetic process",736,671,498.29,1e-30,1.13386581469649e-29
"GO:0048513","animal organ development",3864,3020,2616.04,1e-30,1.13386581469649e-29
"GO:0016310","phosphorylation",3619,2842,2450.17,1e-30,1.13386581469649e-29
"GO:0044270","cellular nitrogen compound catabolic pro...",1324,1134,896.39,1e-30,1.13386581469649e-29
"GO:0009755","hormone-mediated signaling pathway",1829,1519,1238.29,1e-30,1.13386581469649e-29
"GO:0060560","developmental growth involved in morphog...",1052,922,712.23,1e-30,1.13386581469649e-29
"GO:0043933","protein-containing complex subunit organ...",1729,1443,1170.58,1e-30,1.13386581469649e-29
"GO:0044262","cellular carbohydrate metabolic process",1699,1420,1150.27,1e-30,1.13386581469649e-29
"GO:0019439","aromatic compound catabolic process",1372,1170,928.88,1e-30,1.13386581469649e-29
