"GO.ID","Term","Annotated","Significant","Expected","classicFisher","q_value"
"GO:0009628","response to abiotic stimulus",4953,2941,2238.09,1e-30,4.66973684210526e-29
"GO:1901700","response to oxygen-containing compound",4357,2560,1968.77,1e-30,4.66973684210526e-29
"GO:0042221","response to chemical",7726,4229,3491.11,1e-30,4.66973684210526e-29
"GO:0010033","response to organic substance",5165,2935,2333.88,1e-30,4.66973684210526e-29
"GO:0044248","cellular catabolic process",4164,2403,1881.56,1e-30,4.66973684210526e-29
"GO:1901564","organonitrogen compound metabolic proces...",12830,6543,5797.42,1e-30,4.66973684210526e-29
"GO:1901575","organic substance catabolic process",4535,2578,2049.21,1e-30,4.66973684210526e-29
"GO:0009056","catabolic process",5367,2987,2425.16,1e-30,4.66973684210526e-29
"GO:0009605","response to external stimulus",4269,2432,1929.01,1e-30,4.66973684210526e-29
"GO:0003006","developmental process involved in reprod...",3920,2229,1771.31,1e-30,4.66973684210526e-29
"GO:0006820","anion transport",3701,2106,1672.35,1e-30,4.66973684210526e-29
"GO:0022414","reproductive process",4636,2570,2094.84,1e-30,4.66973684210526e-29
"GO:0010035","response to inorganic substance",2650,1567,1197.44,1e-30,4.66973684210526e-29
"GO:0048608","reproductive structure development",3048,1770,1377.28,1e-30,4.66973684210526e-29
"GO:0061458","reproductive system development",3048,1770,1377.28,1e-30,4.66973684210526e-29
"GO:0009416","response to light stimulus",2044,1250,923.61,1e-30,4.66973684210526e-29
"GO:0006811","ion transport",4850,2670,2191.54,1e-30,4.66973684210526e-29
"GO:0071705","nitrogen compound transport",3166,1828,1430.6,1e-30,4.66973684210526e-29
"GO:0071702","organic substance transport",3314,1901,1497.48,1e-30,4.66973684210526e-29
"GO:0009791","post-embryonic development",4032,2261,1821.92,1e-30,4.66973684210526e-29
"GO:0009314","response to radiation",2141,1297,967.44,1e-30,4.66973684210526e-29
"GO:0006950","response to stress",9673,4964,4370.89,1e-30,4.66973684210526e-29
"GO:1901361","organic cyclic compound catabolic proces...",1388,889,627.19,1e-30,4.66973684210526e-29
"GO:0009725","response to hormone",3459,1963,1563,1e-30,4.66973684210526e-29
"GO:0044281","small molecule metabolic process",6862,3629,3100.69,1e-30,4.66973684210526e-29
"GO:0006886","intracellular protein transport",1724,1069,779.01,1e-30,4.66973684210526e-29
"GO:0033036","macromolecule localization",2957,1706,1336.16,1e-30,4.66973684210526e-29
"GO:0019439","aromatic compound catabolic process",1372,877,619.96,1e-30,4.66973684210526e-29
"GO:0042886","amide transport",2301,1368,1039.74,1e-30,4.66973684210526e-29
"GO:0015833","peptide transport",2278,1356,1029.35,1e-30,4.66973684210526e-29
"GO:0009719","response to endogenous stimulus",3609,2030,1630.78,1e-30,4.66973684210526e-29
"GO:0044270","cellular nitrogen compound catabolic pro...",1324,848,598.27,1e-30,4.66973684210526e-29
"GO:0000003","reproduction",4930,2678,2227.69,1e-30,4.66973684210526e-29
"GO:0046700","heterocycle catabolic process",1321,844,596.91,1e-30,4.66973684210526e-29
"GO:0043207","response to external biotic stimulus",3075,1754,1389.48,1e-30,4.66973684210526e-29
"GO:0034655","nucleobase-containing compound catabolic...",1036,686,468.13,1e-30,4.66973684210526e-29
"GO:0051707","response to other organism",3070,1750,1387.22,1e-30,4.66973684210526e-29
"GO:0015031","protein transport",2133,1269,963.83,1e-30,4.66973684210526e-29
"GO:0033993","response to lipid",2330,1370,1052.84,1e-30,4.66973684210526e-29
"GO:0045184","establishment of protein localization",2189,1297,989.13,1e-30,4.66973684210526e-29
"GO:0070727","cellular macromolecule localization",1984,1190,896.5,1e-30,4.66973684210526e-29
"GO:0034613","cellular protein localization",1917,1155,866.22,1e-30,4.66973684210526e-29
"GO:0071310","cellular response to organic substance",2494,1453,1126.95,1e-30,4.66973684210526e-29
"GO:0044282","small molecule catabolic process",1878,1131,848.6,1e-30,4.66973684210526e-29
"GO:0009266","response to temperature stimulus",1651,1011,746.03,1e-30,4.66973684210526e-29
"GO:0009743","response to carbohydrate",1301,824,587.88,1e-30,4.66973684210526e-29
"GO:0044419","biological process involved in interspec...",3263,1835,1474.43,1e-30,4.66973684210526e-29
"GO:0098542","defense response to other organism",2289,1341,1034.32,1e-30,4.66973684210526e-29
"GO:0006810","transport",7662,3966,3462.19,1e-30,4.66973684210526e-29
"GO:0044267","cellular protein metabolic process",8851,4527,3999.45,1e-30,4.66973684210526e-29
"GO:0097305","response to alcohol",1585,970,716.21,1e-30,4.66973684210526e-29
"GO:0050896","response to stimulus",17671,8569,7984.9,1e-30,4.66973684210526e-29
"GO:0009607","response to biotic stimulus",3249,1819,1468.11,1e-30,4.66973684210526e-29
"GO:0046907","intracellular transport",2367,1373,1069.56,1e-30,4.66973684210526e-29
"GO:0070887","cellular response to chemical stimulus",3232,1807,1460.43,1e-30,4.66973684210526e-29
"GO:1901566","organonitrogen compound biosynthetic pro...",4115,2239,1859.42,1e-30,4.66973684210526e-29
"GO:1901565","organonitrogen compound catabolic proces...",2688,1529,1214.61,1e-30,4.66973684210526e-29
"GO:0051649","establishment of localization in cell",2805,1588,1267.48,1e-30,4.66973684210526e-29
"GO:0008104","protein localization",2416,1391,1091.7,1e-30,4.66973684210526e-29
"GO:0009737","response to abscisic acid",1398,862,631.71,1e-30,4.66973684210526e-29
"GO:0044283","small molecule biosynthetic process",3445,1906,1556.67,1e-30,4.66973684210526e-29
"GO:0006970","response to osmotic stress",1690,1014,763.65,1e-30,4.66973684210526e-29
"GO:0006793","phosphorus metabolic process",6444,3360,2911.82,1e-30,4.66973684210526e-29
"GO:0051234","establishment of localization",8172,4180,3692.64,1e-30,4.66973684210526e-29
"GO:0006796","phosphate-containing compound metabolic ...",6378,3328,2881.99,1e-30,4.66973684210526e-29
"GO:0048731","system development",6506,3384,2939.83,1e-30,4.66973684210526e-29
"GO:0043412","macromolecule modification",7672,3936,3466.71,1e-30,4.66973684210526e-29
"GO:1901135","carbohydrate derivative metabolic proces...",3041,1693,1374.12,1e-30,4.66973684210526e-29
"GO:0007275","multicellular organism development",9665,4861,4367.27,1e-30,4.66973684210526e-29
"GO:0010243","response to organonitrogen compound",845,553,381.83,1e-30,4.66973684210526e-29
"GO:0048583","regulation of response to stimulus",2033,1178,918.64,1e-30,4.66973684210526e-29
"GO:0006605","protein targeting",1231,760,556.25,1e-30,4.66973684210526e-29
"GO:0019538","protein metabolic process",9892,4957,4469.84,1e-30,4.66973684210526e-29
"GO:0009651","response to salt stress",1567,934,708.07,1e-30,4.66973684210526e-29
"GO:0072594","establishment of protein localization to...",753,498,340.25,1e-30,4.66973684210526e-29
"GO:0032870","cellular response to hormone stimulus",1933,1119,873.45,1e-30,4.66973684210526e-29
"GO:0033365","protein localization to organelle",833,538,376.4,3.2e-30,1.47490909090909e-28
"GO:1901657","glycosyl compound metabolic process",1132,699,511.51,3.7e-30,1.6835e-28
"GO:0016071","mRNA metabolic process",1125,695,508.35,4.5e-30,2.02158227848101e-28
"GO:0009755","hormone-mediated signaling pathway",1829,1061,826.46,7.4e-30,3.282825e-28
"GO:0072523","purine-containing compound catabolic pro...",693,459,313.14,1.5e-29,6.57222222222222e-28
"GO:0046434","organophosphate catabolic process",711,468,321.28,3.5e-29,1.51481707317073e-27
"GO:0010228","vegetative to reproductive phase transit...",766,498,346.13,4.7e-29,2.00967469879518e-27
"GO:1901698","response to nitrogen compound",1296,781,585.62,8e-29,3.38e-27
"GO:0048856","anatomical structure development",10879,5385,4915.83,1e-28,4.17529411764706e-27
"GO:1901701","cellular response to oxygen-containing c...",2013,1149,909.6,1.6e-28,6.60279069767442e-27
"GO:0006195","purine nucleotide catabolic process",648,431,292.81,2e-28,8.06590909090909e-27
"GO:0071495","cellular response to endogenous stimulus",2085,1185,942.14,2e-28,8.06590909090909e-27
"GO:0009166","nucleotide catabolic process",656,435,296.42,3e-28,1.19629213483146e-26
"GO:0019637","organophosphate metabolic process",2737,1511,1236.75,3.1e-28,1.22243333333333e-26
"GO:0010200","response to chitin",703,461,317.66,3.2e-28,1.248e-26
"GO:0009409","response to cold",1084,667,489.82,3.3e-28,1.27301086956522e-26
"GO:1901292","nucleoside phosphate catabolic process",663,438,299.59,6.7e-28,2.5568064516129e-26
"GO:0043436","oxoacid metabolic process",3839,2050,1734.71,1.1e-27,4.15308510638298e-26
"GO:0055086","nucleobase-containing small molecule met...",1963,1119,887.01,1.7e-27,6.35084210526316e-26
"GO:1901576","organic substance biosynthetic process",13965,6790,6310.29,2.1e-27,7.7634375e-26
