"GO.ID","Term","Annotated","Significant","Expected","classicFisher","q_value"
"GO:0009628","response to abiotic stimulus",4953,4622,3797.44,1e-30,1.08532110091743e-29
"GO:0042221","response to chemical",7726,6802,5923.49,1e-30,1.08532110091743e-29
"GO:1901700","response to oxygen-containing compound",4357,4008,3340.49,1e-30,1.08532110091743e-29
"GO:0010033","response to organic substance",5165,4667,3959.98,1e-30,1.08532110091743e-29
"GO:0044281","small molecule metabolic process",6862,6045,5261.06,1e-30,1.08532110091743e-29
"GO:1901566","organonitrogen compound biosynthetic pro...",4115,3755,3154.95,1e-30,1.08532110091743e-29
"GO:0044283","small molecule biosynthetic process",3445,3176,2641.27,1e-30,1.08532110091743e-29
"GO:1901135","carbohydrate derivative metabolic proces...",3041,2830,2331.52,1e-30,1.08532110091743e-29
"GO:0009605","response to external stimulus",4269,3864,3273.02,1e-30,1.08532110091743e-29
"GO:1901564","organonitrogen compound metabolic proces...",12830,10749,9836.7,1e-30,1.08532110091743e-29
"GO:0003006","developmental process involved in reprod...",3920,3553,3005.45,1e-30,1.08532110091743e-29
"GO:0006796","phosphate-containing compound metabolic ...",6378,5579,4889.98,1e-30,1.08532110091743e-29
"GO:0006793","phosphorus metabolic process",6444,5632,4940.58,1e-30,1.08532110091743e-29
"GO:0048608","reproductive structure development",3048,2813,2336.89,1e-30,1.08532110091743e-29
"GO:0061458","reproductive system development",3048,2813,2336.89,1e-30,1.08532110091743e-29
"GO:0022414","reproductive process",4636,4142,3554.4,1e-30,1.08532110091743e-29
"GO:0009791","post-embryonic development",4032,3637,3091.32,1e-30,1.08532110091743e-29
"GO:0019637","organophosphate metabolic process",2737,2541,2098.45,1e-30,1.08532110091743e-29
"GO:0010035","response to inorganic substance",2650,2462,2031.74,1e-30,1.08532110091743e-29
"GO:0043436","oxoacid metabolic process",3839,3463,2943.34,1e-30,1.08532110091743e-29
"GO:0006811","ion transport",4850,4300,3718.47,1e-30,1.08532110091743e-29
"GO:0044085","cellular component biogenesis",3678,3327,2819.91,1e-30,1.08532110091743e-29
"GO:0006082","organic acid metabolic process",3931,3536,3013.88,1e-30,1.08532110091743e-29
"GO:0099402","plant organ development",2572,2388,1971.94,1e-30,1.08532110091743e-29
"GO:1901575","organic substance catabolic process",4535,4030,3476.96,1e-30,1.08532110091743e-29
"GO:0000003","reproduction",4930,4354,3779.81,1e-30,1.08532110091743e-29
"GO:0006820","anion transport",3701,3334,2837.54,1e-30,1.08532110091743e-29
"GO:0019752","carboxylic acid metabolic process",3678,3311,2819.91,1e-30,1.08532110091743e-29
"GO:0009056","catabolic process",5367,4700,4114.85,1e-30,1.08532110091743e-29
"GO:0048367","shoot system development",2366,2198,1814,1e-30,1.08532110091743e-29
"GO:0071705","nitrogen compound transport",3166,2871,2427.36,1e-30,1.08532110091743e-29
"GO:0044282","small molecule catabolic process",1878,1772,1439.85,1e-30,1.08532110091743e-29
"GO:0043207","response to external biotic stimulus",3075,2791,2357.59,1e-30,1.08532110091743e-29
"GO:0051707","response to other organism",3070,2786,2353.75,1e-30,1.08532110091743e-29
"GO:0009314","response to radiation",2141,1997,1641.49,1e-30,1.08532110091743e-29
"GO:0009266","response to temperature stimulus",1651,1572,1265.81,1e-30,1.08532110091743e-29
"GO:0009719","response to endogenous stimulus",3609,3233,2767,1e-30,1.08532110091743e-29
"GO:0048731","system development",6506,5601,4988.12,1e-30,1.08532110091743e-29
"GO:0009725","response to hormone",3459,3107,2652,1e-30,1.08532110091743e-29
"GO:0005975","carbohydrate metabolic process",3211,2897,2461.86,1e-30,1.08532110091743e-29
"GO:0071702","organic substance transport",3314,2982,2540.83,1e-30,1.08532110091743e-29
"GO:0040007","growth",1973,1845,1512.69,1e-30,1.08532110091743e-29
"GO:0009416","response to light stimulus",2044,1903,1567.13,1e-30,1.08532110091743e-29
"GO:0006970","response to osmotic stress",1690,1596,1295.72,1e-30,1.08532110091743e-29
"GO:0022607","cellular component assembly",2427,2228,1860.77,1e-30,1.08532110091743e-29
