"GO.ID","Term","Annotated","Significant","Expected","classicFisher","q_value"
"GO:0009628","response to abiotic stimulus",4953,4621,3680.89,1e-30,9.5792349726776e-30
"GO:1901700","response to oxygen-containing compound",4358,4051,3238.71,1e-30,9.5792349726776e-30
"GO:0042221","response to chemical",7603,6697,5650.28,1e-30,9.5792349726776e-30
"GO:0010033","response to organic substance",5165,4668,3838.44,1e-30,9.5792349726776e-30
"GO:0044281","small molecule metabolic process",6862,5970,5099.59,1e-30,9.5792349726776e-30
"GO:0010035","response to inorganic substance",2650,2505,1969.39,1e-30,9.5792349726776e-30
"GO:0009605","response to external stimulus",4269,3843,3172.57,1e-30,9.5792349726776e-30
"GO:1901566","organonitrogen compound biosynthetic pro...",4152,3729,3085.62,1e-30,9.5792349726776e-30
"GO:1901564","organonitrogen compound metabolic proces...",12852,10546,9551.15,1e-30,9.5792349726776e-30
"GO:1901135","carbohydrate derivative metabolic proces...",3041,2798,2259.96,1e-30,9.5792349726776e-30
"GO:0006796","phosphate-containing compound metabolic ...",6202,5354,4609.11,1e-30,9.5792349726776e-30
"GO:0009725","response to hormone",3459,3133,2570.61,1e-30,9.5792349726776e-30
"GO:0006793","phosphorus metabolic process",6268,5403,4658.15,1e-30,9.5792349726776e-30
"GO:0043436","oxoacid metabolic process",3870,3467,2876.05,1e-30,9.5792349726776e-30
"GO:0009791","post-embryonic development",4032,3597,2996.44,1e-30,9.5792349726776e-30
"GO:0009719","response to endogenous stimulus",3609,3247,2682.08,1e-30,9.5792349726776e-30
"GO:0006082","organic acid metabolic process",3931,3509,2921.38,1e-30,9.5792349726776e-30
"GO:0099402","plant organ development",2572,2377,1911.42,1e-30,9.5792349726776e-30
"GO:0019752","carboxylic acid metabolic process",3712,3320,2758.63,1e-30,9.5792349726776e-30
"GO:0009056","catabolic process",5367,4652,3988.56,1e-30,9.5792349726776e-30
"GO:0071705","nitrogen compound transport",3154,2854,2343.94,1e-30,9.5792349726776e-30
"GO:0048608","reproductive structure development",3048,2766,2265.16,1e-30,9.5792349726776e-30
"GO:0061458","reproductive system development",3048,2766,2265.16,1e-30,9.5792349726776e-30
"GO:0022414","reproductive process",4636,4058,3445.31,1e-30,9.5792349726776e-30
"GO:1901575","organic substance catabolic process",4535,3971,3370.25,1e-30,9.5792349726776e-30
"GO:0019637","organophosphate metabolic process",2737,2499,2034.04,1e-30,9.5792349726776e-30
"GO:0009314","response to radiation",2141,1997,1591.11,1e-30,9.5792349726776e-30
"GO:0003006","developmental process involved in reprod...",3920,3465,2913.2,1e-30,9.5792349726776e-30
"GO:0043207","response to external biotic stimulus",3075,2773,2285.23,1e-30,9.5792349726776e-30
"GO:0051707","response to other organism",3070,2768,2281.51,1e-30,9.5792349726776e-30
"GO:0044419","biological process involved in interspec...",3127,2815,2323.87,1e-30,9.5792349726776e-30
"GO:0000003","reproduction",4930,4276,3663.8,1e-30,9.5792349726776e-30
"GO:0044085","cellular component biogenesis",3484,3104,2589.18,1e-30,9.5792349726776e-30
"GO:0044283","small molecule biosynthetic process",2853,2584,2120.25,1e-30,9.5792349726776e-30
"GO:0070887","cellular response to chemical stimulus",3220,2886,2392.99,1e-30,9.5792349726776e-30
"GO:0009416","response to light stimulus",2044,1905,1519.03,1e-30,9.5792349726776e-30
"GO:0032787","monocarboxylic acid metabolic process",2557,2336,1900.27,1e-30,9.5792349726776e-30
"GO:0048731","system development",6506,5519,4835.03,1e-30,9.5792349726776e-30
"GO:0050896","response to stimulus",17600,13957,13079.69,1e-30,9.5792349726776e-30
"GO:0048367","shoot system development",2366,2170,1758.33,1e-30,9.5792349726776e-30
"GO:0005975","carbohydrate metabolic process",3211,2869,2386.3,1e-30,9.5792349726776e-30
"GO:0009266","response to temperature stimulus",1651,1562,1226.96,1e-30,9.5792349726776e-30
"GO:0044282","small molecule catabolic process",1878,1756,1395.66,1e-30,9.5792349726776e-30
"GO:0071310","cellular response to organic substance",2494,2273,1853.45,1e-30,9.5792349726776e-30
"GO:0006970","response to osmotic stress",1690,1593,1255.95,1e-30,9.5792349726776e-30
"GO:0008610","lipid biosynthetic process",2100,1941,1560.65,1e-30,9.5792349726776e-30
"GO:0009607","response to biotic stimulus",3249,2894,2414.54,1e-30,9.5792349726776e-30
"GO:0033993","response to lipid",2330,2128,1731.57,1e-30,9.5792349726776e-30
"GO:1901615","organic hydroxy compound metabolic proce...",1536,1455,1141.5,1e-30,9.5792349726776e-30
"GO:0009651","response to salt stress",1567,1481,1164.54,1e-30,9.5792349726776e-30
"GO:0071702","organic substance transport",3304,2925,2455.42,1e-30,9.5792349726776e-30
"GO:0006950","response to stress",9651,7919,7172.28,1e-30,9.5792349726776e-30
"GO:0044248","cellular catabolic process",4164,3620,3094.54,1e-30,9.5792349726776e-30
"GO:0006810","transport",7662,6378,5694.13,1e-30,9.5792349726776e-30
"GO:1901701","cellular response to oxygen-containing c...",2013,1855,1495.99,1e-30,9.5792349726776e-30
"GO:0009888","tissue development",2417,2191,1796.23,1e-30,9.5792349726776e-30
