"GO.ID","Term","Annotated","Significant","Expected","classicFisher","q_value"
"GO:0009628","response to abiotic stimulus",4953,3610,2702.59,1e-30,1.27204301075269e-29
"GO:1901566","organonitrogen compound biosynthetic pro...",4115,3027,2245.34,1e-30,1.27204301075269e-29
"GO:1901135","carbohydrate derivative metabolic proces...",3041,2313,1659.31,1e-30,1.27204301075269e-29
"GO:0044085","cellular component biogenesis",3678,2713,2006.89,1e-30,1.27204301075269e-29
"GO:1901564","organonitrogen compound metabolic proces...",12830,8100,7000.65,1e-30,1.27204301075269e-29
"GO:0044281","small molecule metabolic process",6862,4636,3744.23,1e-30,1.27204301075269e-29
"GO:0044283","small molecule biosynthetic process",3445,2513,1879.75,1e-30,1.27204301075269e-29
"GO:0006796","phosphate-containing compound metabolic ...",6378,4301,3480.14,1e-30,1.27204301075269e-29
"GO:0006793","phosphorus metabolic process",6444,4337,3516.15,1e-30,1.27204301075269e-29
"GO:0042221","response to chemical",7726,5080,4215.67,1e-30,1.27204301075269e-29
"GO:0019637","organophosphate metabolic process",2737,2041,1493.44,1e-30,1.27204301075269e-29
"GO:0009791","post-embryonic development",4032,2851,2200.05,1e-30,1.27204301075269e-29
"GO:1901700","response to oxygen-containing compound",4357,3042,2377.38,1e-30,1.27204301075269e-29
"GO:0099402","plant organ development",2572,1900,1403.4,1e-30,1.27204301075269e-29
"GO:0043436","oxoacid metabolic process",3839,2689,2094.74,1e-30,1.27204301075269e-29
"GO:0009605","response to external stimulus",4269,2949,2329.37,1e-30,1.27204301075269e-29
"GO:0006082","organic acid metabolic process",3931,2738,2144.94,1e-30,1.27204301075269e-29
"GO:0005975","carbohydrate metabolic process",3211,2292,1752.07,1e-30,1.27204301075269e-29
"GO:0048608","reproductive structure development",3048,2184,1663.13,1e-30,1.27204301075269e-29
"GO:0061458","reproductive system development",3048,2184,1663.13,1e-30,1.27204301075269e-29
"GO:1901576","organic substance biosynthetic process",13965,8517,7619.96,1e-30,1.27204301075269e-29
"GO:0010033","response to organic substance",5165,3474,2818.27,1e-30,1.27204301075269e-29
"GO:0009888","tissue development",2420,1781,1320.47,1e-30,1.27204301075269e-29
"GO:0006811","ion transport",4850,3278,2646.39,1e-30,1.27204301075269e-29
"GO:0019752","carboxylic acid metabolic process",3678,2565,2006.89,1e-30,1.27204301075269e-29
"GO:0048731","system development",6506,4259,3549.98,1e-30,1.27204301075269e-29
"GO:0009657","plastid organization",669,599,365.04,1e-30,1.27204301075269e-29
"GO:0048367","shoot system development",2366,1737,1291,1e-30,1.27204301075269e-29
"GO:0071840","cellular component organization or bioge...",10348,6455,5646.36,1e-30,1.27204301075269e-29
"GO:0022607","cellular component assembly",2427,1772,1324.29,1e-30,1.27204301075269e-29
"GO:0009314","response to radiation",2141,1588,1168.23,1e-30,1.27204301075269e-29
"GO:0071705","nitrogen compound transport",3166,2232,1727.52,1e-30,1.27204301075269e-29
"GO:0010035","response to inorganic substance",2650,1907,1445.97,1e-30,1.27204301075269e-29
"GO:0016051","carbohydrate biosynthetic process",1397,1097,762.27,1e-30,1.27204301075269e-29
"GO:0006820","anion transport",3701,2553,2019.44,1e-30,1.27204301075269e-29
"GO:0009056","catabolic process",5367,3547,2928.49,1e-30,1.27204301075269e-29
"GO:0003006","developmental process involved in reprod...",3920,2678,2138.94,1e-30,1.27204301075269e-29
"GO:0022414","reproductive process",4636,3108,2529.62,1e-30,1.27204301075269e-29
"GO:0009416","response to light stimulus",2044,1511,1115.3,1e-30,1.27204301075269e-29
"GO:1901575","organic substance catabolic process",4535,3046,2474.51,1e-30,1.27204301075269e-29
"GO:0042886","amide transport",2301,1670,1255.53,1e-30,1.27204301075269e-29
"GO:0051649","establishment of localization in cell",2805,1984,1530.54,1e-30,1.27204301075269e-29
"GO:0015833","peptide transport",2278,1653,1242.98,1e-30,1.27204301075269e-29
"GO:0006886","intracellular protein transport",1724,1298,940.7,1e-30,1.27204301075269e-29
"GO:0016053","organic acid biosynthetic process",1839,1370,1003.45,1e-30,1.27204301075269e-29
"GO:0046394","carboxylic acid biosynthetic process",1683,1269,918.32,1e-30,1.27204301075269e-29
"GO:0006790","sulfur compound metabolic process",1249,983,681.51,1e-30,1.27204301075269e-29
"GO:0034613","cellular protein localization",1917,1416,1046.01,1e-30,1.27204301075269e-29
"GO:1905392","plant organ morphogenesis",1470,1126,802.1,1e-30,1.27204301075269e-29
"GO:0050793","regulation of developmental process",1707,1280,931.42,1e-30,1.27204301075269e-29
"GO:0070727","cellular macromolecule localization",1984,1457,1082.56,1e-30,1.27204301075269e-29
"GO:0046907","intracellular transport",2367,1698,1291.55,1e-30,1.27204301075269e-29
"GO:0007275","multicellular organism development",9665,5996,5273.68,1e-30,1.27204301075269e-29
"GO:0032787","monocarboxylic acid metabolic process",2557,1814,1395.22,1e-30,1.27204301075269e-29
"GO:0015031","protein transport",2133,1546,1163.87,1e-30,1.27204301075269e-29
"GO:0055086","nucleobase-containing small molecule met...",1963,1438,1071.11,1e-30,1.27204301075269e-29
"GO:0009117","nucleotide metabolic process",1787,1324,975.07,1e-30,1.27204301075269e-29
"GO:0000003","reproduction",4930,3246,2690.04,1e-30,1.27204301075269e-29
"GO:0006753","nucleoside phosphate metabolic process",1806,1335,985.44,1e-30,1.27204301075269e-29
"GO:0045184","establishment of protein localization",2189,1578,1194.42,1e-30,1.27204301075269e-29
"GO:0065003","protein-containing complex assembly",1590,1195,867.58,1e-30,1.27204301075269e-29
"GO:0090558","plant epidermis development",1141,899,622.58,1e-30,1.27204301075269e-29
"GO:0090407","organophosphate biosynthetic process",1442,1098,786.82,1e-30,1.27204301075269e-29
"GO:0071702","organic substance transport",3314,2270,1808.27,1e-30,1.27204301075269e-29
"GO:0034622","cellular protein-containing complex asse...",1407,1073,767.73,1e-30,1.27204301075269e-29
"GO:0008104","protein localization",2416,1716,1318.28,1e-30,1.27204301075269e-29
"GO:0043933","protein-containing complex subunit organ...",1729,1280,943.42,1e-30,1.27204301075269e-29
"GO:0006364","rRNA processing",498,445,271.73,1e-30,1.27204301075269e-29
"GO:0006996","organelle organization",5411,3511,2952.5,1e-30,1.27204301075269e-29
"GO:0016072","rRNA metabolic process",509,452,277.73,1e-30,1.27204301075269e-29
"GO:0000271","polysaccharide biosynthetic process",1050,830,572.93,1e-30,1.27204301075269e-29
"GO:0019693","ribose phosphate metabolic process",1435,1084,783,1e-30,1.27204301075269e-29
