"GO.ID","Term","Annotated","Significant","Expected","classicFisher","q_value"
"GO:0009628","response to abiotic stimulus",4953,3658,2809.25,1e-30,2.79448818897638e-29
"GO:0042221","response to chemical",7726,5393,4382.04,1e-30,2.79448818897638e-29
"GO:1901700","response to oxygen-containing compound",4357,3252,2471.21,1e-30,2.79448818897638e-29
"GO:0010033","response to organic substance",5165,3739,2929.49,1e-30,2.79448818897638e-29
"GO:0010035","response to inorganic substance",2650,2041,1503.03,1e-30,2.79448818897638e-29
"GO:0009725","response to hormone",3459,2517,1961.88,1e-30,2.79448818897638e-29
"GO:0009719","response to endogenous stimulus",3609,2610,2046.96,1e-30,2.79448818897638e-29
"GO:0009605","response to external stimulus",4269,3024,2421.29,1e-30,2.79448818897638e-29
"GO:0051707","response to other organism",3070,2235,1741.24,1e-30,2.79448818897638e-29
"GO:0043207","response to external biotic stimulus",3075,2238,1744.08,1e-30,2.79448818897638e-29
"GO:0006950","response to stress",9673,6246,5486.34,1e-30,2.79448818897638e-29
"GO:0009607","response to biotic stimulus",3249,2333,1842.77,1e-30,2.79448818897638e-29
"GO:0044281","small molecule metabolic process",6862,4557,3891.99,1e-30,2.79448818897638e-29
"GO:0044419","biological process involved in interspec...",3263,2333,1850.71,1e-30,2.79448818897638e-29
"GO:0050896","response to stimulus",17671,10834,10022.65,1e-30,2.79448818897638e-29
"GO:0033993","response to lipid",2330,1727,1321.53,1e-30,2.79448818897638e-29
"GO:0070887","cellular response to chemical stimulus",3232,2305,1833.13,1e-30,2.79448818897638e-29
"GO:0006970","response to osmotic stress",1690,1303,958.54,1e-30,2.79448818897638e-29
"GO:0071310","cellular response to organic substance",2494,1831,1414.55,1e-30,2.79448818897638e-29
"GO:0009266","response to temperature stimulus",1651,1270,936.42,1e-30,2.79448818897638e-29
"GO:0006811","ion transport",4850,3299,2750.83,1e-30,2.79448818897638e-29
"GO:0043436","oxoacid metabolic process",3839,2670,2177.41,1e-30,2.79448818897638e-29
"GO:0009056","catabolic process",5367,3609,3044.06,1e-30,2.79448818897638e-29
"GO:0098542","defense response to other organism",2289,1682,1298.28,1e-30,2.79448818897638e-29
"GO:0006082","organic acid metabolic process",3931,2723,2229.59,1e-30,2.79448818897638e-29
"GO:0009651","response to salt stress",1567,1206,888.77,1e-30,2.79448818897638e-29
"GO:0009743","response to carbohydrate",1301,1022,737.9,1e-30,2.79448818897638e-29
"GO:0019752","carboxylic acid metabolic process",3678,2552,2086.09,1e-30,2.79448818897638e-29
"GO:1901575","organic substance catabolic process",4535,3082,2572.16,1e-30,2.79448818897638e-29
"GO:0032787","monocarboxylic acid metabolic process",2557,1843,1450.28,1e-30,2.79448818897638e-29
"GO:0006810","transport",7662,4967,4345.74,1e-30,2.79448818897638e-29
"GO:0006820","anion transport",3701,2560,2099.14,1e-30,2.79448818897638e-29
"GO:1901564","organonitrogen compound metabolic proces...",12830,7993,7276.93,1e-30,2.79448818897638e-29
"GO:0071705","nitrogen compound transport",3166,2219,1795.69,1e-30,2.79448818897638e-29
"GO:0044283","small molecule biosynthetic process",3445,2389,1953.94,1e-30,2.79448818897638e-29
"GO:0097305","response to alcohol",1585,1199,898.98,1e-30,2.79448818897638e-29
"GO:0010243","response to organonitrogen compound",845,694,479.27,1e-30,2.79448818897638e-29
"GO:0032870","cellular response to hormone stimulus",1933,1421,1096.36,1e-30,2.79448818897638e-29
"GO:0051234","establishment of localization",8172,5235,4635,1e-30,2.79448818897638e-29
"GO:0071702","organic substance transport",3314,2294,1879.64,1e-30,2.79448818897638e-29
"GO:0009416","response to light stimulus",2044,1489,1159.32,1e-30,2.79448818897638e-29
"GO:0009314","response to radiation",2141,1549,1214.33,1e-30,2.79448818897638e-29
"GO:0009737","response to abscisic acid",1398,1063,792.92,1e-30,2.79448818897638e-29
"GO:1901701","cellular response to oxygen-containing c...",2013,1465,1141.73,1e-30,2.79448818897638e-29
"GO:0006952","defense response",3292,2274,1867.16,1e-30,2.79448818897638e-29
"GO:0010200","response to chitin",703,587,398.73,1e-30,2.79448818897638e-29
"GO:0044255","cellular lipid metabolic process",2545,1803,1443.47,1e-30,2.79448818897638e-29
"GO:0009755","hormone-mediated signaling pathway",1829,1342,1037.37,1e-30,2.79448818897638e-29
"GO:1901698","response to nitrogen compound",1296,991,735.07,1e-30,2.79448818897638e-29
"GO:0006629","lipid metabolic process",3648,2489,2069.08,1e-30,2.79448818897638e-29
"GO:0071495","cellular response to endogenous stimulus",2085,1505,1182.57,1e-30,2.79448818897638e-29
"GO:0009415","response to water",920,735,521.81,1e-30,2.79448818897638e-29
"GO:0008610","lipid biosynthetic process",2033,1470,1153.08,1e-30,2.79448818897638e-29
"GO:0009414","response to water deprivation",895,717,507.63,1e-30,2.79448818897638e-29
"GO:0044248","cellular catabolic process",4164,2794,2361.74,1e-30,2.79448818897638e-29
"GO:0006796","phosphate-containing compound metabolic ...",6378,4132,3617.48,1e-30,2.79448818897638e-29
"GO:0006979","response to oxidative stress",1183,907,670.97,1e-30,2.79448818897638e-29
"GO:1901135","carbohydrate derivative metabolic proces...",3041,2098,1724.8,1e-30,2.79448818897638e-29
