interpro.id,n.tomato.proteins
IPR000109,76
IPR000136,10
IPR000167,7
IPR000269,8
IPR000316,1
IPR000425,68
IPR000528,46
IPR000743,65
IPR000889,9
IPR001128,333
IPR001270,12
IPR001289,10
IPR001371,4
IPR001404,12
IPR001461,89
IPR001519,2
IPR001525,11
IPR001554,10
IPR001568,18
IPR001613,6
IPR001902,18
IPR001929,24
IPR002020,5
IPR002207,23
IPR002213,167
IPR002241,6
IPR002401,270
IPR002446,2
IPR002495,42
IPR002698,2
IPR003663,65
IPR003676,110
IPR003830,1
IPR004000,41
IPR004294,16
IPR004326,51
IPR004403,4
IPR004483,0
IPR004776,22
IPR004963,19
IPR004993,28
IPR005301,3
IPR005333,60
IPR005513,5
IPR005746,9
IPR005814,17
IPR005819,6
IPR005828,99
IPR005886,7
IPR005936,9
IPR006015,19
IPR006214,21
IPR006766,9
IPR006840,3
IPR007325,5
IPR007608,15
IPR008264,13
IPR008507,10
IPR008521,11
IPR008584,2
IPR008802,3
IPR008803,3
IPR008811,7
IPR008862,2
IPR008971,24
IPR008972,115
IPR008978,82
IPR009057,486
IPR009078,16
IPR009145,3
IPR009836,3
IPR010241,13
IPR010255,145
IPR010417,3
IPR010982,9
IPR011006,52
IPR011009,1259
IPR011032,62
IPR011050,175
IPR011051,77
IPR011141,9
IPR011905,33
IPR011990,733
IPR012171,23
IPR012416,11
IPR012674,10
IPR012724,10
IPR012725,5
IPR012820,13
IPR013126,34
IPR013128,40
IPR013320,135
IPR013471,1
IPR014746,17
IPR015300,144
IPR015424,168
IPR015500,76
IPR015655,82
IPR015701,2
IPR015813,28
IPR016024,360
IPR016039,54
IPR016161,28
IPR016182,8
IPR016455,38
IPR017730,3
IPR017853,236
IPR017938,26
IPR019587,16
IPR020471,13
IPR020568,64
IPR021102,8
IPR021109,139
IPR021135,11
IPR022271,2
IPR022805,8
IPR023271,69
IPR024049,4
IPR024134,9
IPR026057,71
IPR027417,1534
IPR027725,27
IPR029044,158
IPR029047,32
IPR029048,29
IPR029052,67
IPR029058,373
IPR029063,311
IPR029064,28
IPR029069,27
IPR029962,66
IPR031107,26
IPR031307,23
IPR033010,11
IPR033697,10
IPR035513,96
IPR035979,294
IPR036010,39
IPR036047,342
IPR036093,109
IPR036097,26
IPR036112,1
IPR036163,59
IPR036188,179
IPR036249,252
IPR036259,296
IPR036273,30
IPR036282,83
IPR036291,439
IPR036312,117
IPR036322,290
IPR036378,25
IPR036390,170
IPR036392,27
IPR036396,344
IPR036400,23
IPR036410,18
IPR036412,172
IPR036420,30
IPR036423,10
IPR036430,18
IPR036457,106
IPR036460,8
IPR036513,16
IPR036533,9
IPR036568,7
IPR036598,7
IPR036612,51
IPR036628,20
IPR036638,173
IPR036651,9
IPR036703,3
IPR036812,27
IPR036852,98
IPR036865,39
IPR036866,22
IPR036869,119
IPR036873,25
IPR036875,74
IPR036881,20
IPR036890,56
IPR036969,5
IPR037171,18
IPR037175,5
IPR037196,11
IPR037219,19
IPR037274,8
IPR037275,8
IPR038765,158
IPR038896,3
IPR039261,29
IPR039391,44
IPR040079,48
IPR040217,16
IPR040229,4
IPR040267,4
IPR040381,3
IPR040400,6
IPR043129,96
IPR043363,9
IPR043452,16
IPR044560,6
IPR044587,7
IPR044616,2
IPR044629,7
IPR044632,1
IPR044638,2
IPR044656,3
IPR044670,5
IPR044713,9
IPR044778,21
IPR044791,41
IPR044827,11
IPR044831,23
IPR044834,7
IPR044838,3
IPR044839,13
IPR044974,280
IPR045003,9
IPR045012,6
IPR045019,4
IPR045033,6
IPR045043,6
IPR045051,91
IPR045071,7
IPR045073,41
IPR045174,37
IPR045181,16
IPR045182,13
IPR045224,27
IPR045234,20
IPR045262,31
IPR045263,4
IPR045272,32
IPR045279,24
IPR045865,49
IPR046347,76
IPR046349,25
IPR046450,33
IPR046956,55
IPR046960,249
IPR047151,3
