"GO.ID","Term","Annotated","Significant","Expected","classicFisher","q_value"
"GO:0044281","small molecule metabolic process",6862,4079,3107.86,1e-30,1.73970588235294e-29
"GO:0043436","oxoacid metabolic process",3839,2453,1738.72,1e-30,1.73970588235294e-29
"GO:0006082","organic acid metabolic process",3931,2499,1780.39,1e-30,1.73970588235294e-29
"GO:0042221","response to chemical",7726,4436,3499.18,1e-30,1.73970588235294e-29
"GO:0009628","response to abiotic stimulus",4953,3016,2243.26,1e-30,1.73970588235294e-29
"GO:0019752","carboxylic acid metabolic process",3678,2336,1665.8,1e-30,1.73970588235294e-29
"GO:0044283","small molecule biosynthetic process",3445,2206,1560.27,1e-30,1.73970588235294e-29
"GO:1901700","response to oxygen-containing compound",4357,2659,1973.32,1e-30,1.73970588235294e-29
"GO:0010033","response to organic substance",5165,3065,2339.28,1e-30,1.73970588235294e-29
"GO:0006796","phosphate-containing compound metabolic ...",6378,3669,2888.65,1e-30,1.73970588235294e-29
"GO:0006793","phosphorus metabolic process",6444,3695,2918.55,1e-30,1.73970588235294e-29
"GO:1901566","organonitrogen compound biosynthetic pro...",4115,2505,1863.72,1e-30,1.73970588235294e-29
"GO:1901135","carbohydrate derivative metabolic proces...",3041,1931,1377.3,1e-30,1.73970588235294e-29
"GO:0032787","monocarboxylic acid metabolic process",2557,1662,1158.09,1e-30,1.73970588235294e-29
"GO:0019637","organophosphate metabolic process",2737,1755,1239.61,1e-30,1.73970588235294e-29
"GO:0016053","organic acid biosynthetic process",1839,1259,832.9,1e-30,1.73970588235294e-29
"GO:0046394","carboxylic acid biosynthetic process",1683,1168,762.25,1e-30,1.73970588235294e-29
"GO:0009605","response to external stimulus",4269,2551,1933.47,1e-30,1.73970588235294e-29
"GO:0006790","sulfur compound metabolic process",1249,906,565.68,1e-30,1.73970588235294e-29
"GO:1901564","organonitrogen compound metabolic proces...",12830,6676,5810.82,1e-30,1.73970588235294e-29
"GO:0005975","carbohydrate metabolic process",3211,1975,1454.29,1e-30,1.73970588235294e-29
"GO:0099402","plant organ development",2572,1628,1164.88,1e-30,1.73970588235294e-29
"GO:0010035","response to inorganic substance",2650,1666,1200.21,1e-30,1.73970588235294e-29
"GO:0043207","response to external biotic stimulus",3075,1890,1392.7,1e-30,1.73970588235294e-29
"GO:0051707","response to other organism",3070,1886,1390.43,1e-30,1.73970588235294e-29
"GO:0044085","cellular component biogenesis",3678,2187,1665.8,1e-30,1.73970588235294e-29
"GO:0009607","response to biotic stimulus",3249,1964,1471.5,1e-30,1.73970588235294e-29
"GO:0008610","lipid biosynthetic process",2033,1309,920.76,1e-30,1.73970588235294e-29
"GO:0050896","response to stimulus",17671,8797,8003.36,1e-30,1.73970588235294e-29
"GO:0006091","generation of precursor metabolites and ...",1377,942,623.66,1e-30,1.73970588235294e-29
"GO:0090407","organophosphate biosynthetic process",1442,976,653.09,1e-30,1.73970588235294e-29
"GO:0006090","pyruvate metabolic process",598,477,270.84,1e-30,1.73970588235294e-29
"GO:0048367","shoot system development",2366,1478,1071.58,1e-30,1.73970588235294e-29
"GO:0044419","biological process involved in interspec...",3263,1948,1477.84,1e-30,1.73970588235294e-29
"GO:1901615","organic hydroxy compound metabolic proce...",1517,1014,687.06,1e-30,1.73970588235294e-29
"GO:0009719","response to endogenous stimulus",3609,2114,1634.55,1e-30,1.73970588235294e-29
"GO:0044272","sulfur compound biosynthetic process",739,559,334.7,1e-30,1.73970588235294e-29
"GO:0098542","defense response to other organism",2289,1423,1036.71,1e-30,1.73970588235294e-29
"GO:0009725","response to hormone",3459,2032,1566.61,1e-30,1.73970588235294e-29
"GO:1901605","alpha-amino acid metabolic process",920,662,416.68,1e-30,1.73970588235294e-29
"GO:1901617","organic hydroxy compound biosynthetic pr...",984,699,445.66,1e-30,1.73970588235294e-29
"GO:0019748","secondary metabolic process",1619,1053,733.26,1e-30,1.73970588235294e-29
"GO:0048646","anatomical structure formation involved ...",2233,1383,1011.35,1e-30,1.73970588235294e-29
"GO:0009657","plastid organization",669,507,303,1e-30,1.73970588235294e-29
"GO:0006520","cellular amino acid metabolic process",1404,931,635.88,1e-30,1.73970588235294e-29
"GO:0072330","monocarboxylic acid biosynthetic process",1118,769,506.35,1e-30,1.73970588235294e-29
"GO:1905392","plant organ morphogenesis",1470,965,665.78,1e-30,1.73970588235294e-29
"GO:0019288","isopentenyl diphosphate biosynthetic pro...",305,271,138.14,1e-30,1.73970588235294e-29
"GO:0006950","response to stress",9673,5040,4380.99,1e-30,1.73970588235294e-29
"GO:0019682","glyceraldehyde-3-phosphate metabolic pro...",306,271,138.59,1e-30,1.73970588235294e-29
"GO:0016051","carbohydrate biosynthetic process",1397,922,632.71,1e-30,1.73970588235294e-29
"GO:0006629","lipid metabolic process",3648,2103,1652.21,1e-30,1.73970588235294e-29
"GO:0008652","cellular amino acid biosynthetic process",736,543,333.34,1e-30,1.73970588235294e-29
"GO:0009240","isopentenyl diphosphate biosynthetic pro...",316,277,143.12,1e-30,1.73970588235294e-29
"GO:0046490","isopentenyl diphosphate metabolic proces...",316,277,143.12,1e-30,1.73970588235294e-29
"GO:0044255","cellular lipid metabolic process",2545,1533,1152.65,1e-30,1.73970588235294e-29
"GO:0006811","ion transport",4850,2699,2196.61,1e-30,1.73970588235294e-29
"GO:0015979","photosynthesis",706,521,319.75,1e-30,1.73970588235294e-29
"GO:0040007","growth",1973,1223,893.59,1e-30,1.73970588235294e-29
"GO:0048827","phyllome development",1481,957,670.76,1e-30,1.73970588235294e-29
"GO:0009416","response to light stimulus",2044,1258,925.75,1e-30,1.73970588235294e-29
"GO:0009314","response to radiation",2141,1308,969.68,1e-30,1.73970588235294e-29
"GO:0046686","response to cadmium ion",860,607,389.5,1e-30,1.73970588235294e-29
"GO:0010016","shoot system morphogenesis",797,569,360.97,1e-30,1.73970588235294e-29
"GO:0006970","response to osmotic stress",1690,1066,765.42,1e-30,1.73970588235294e-29
"GO:0071554","cell wall organization or biogenesis",2094,1281,948.39,1e-30,1.73970588235294e-29
"GO:0009888","tissue development",2420,1451,1096.04,1e-30,1.73970588235294e-29
"GO:0005976","polysaccharide metabolic process",1547,988,700.65,1e-30,1.73970588235294e-29
"GO:0070887","cellular response to chemical stimulus",3232,1868,1463.8,1e-30,1.73970588235294e-29
"GO:0009791","post-embryonic development",4032,2271,1826.13,1e-30,1.73970588235294e-29
"GO:0009117","nucleotide metabolic process",1787,1116,809.35,1e-30,1.73970588235294e-29
"GO:0006081","cellular aldehyde metabolic process",498,388,225.55,1e-30,1.73970588235294e-29
"GO:0006952","defense response",3292,1894,1490.98,1e-30,1.73970588235294e-29
"GO:0006753","nucleoside phosphate metabolic process",1806,1123,817.95,1e-30,1.73970588235294e-29
"GO:0008299","isoprenoid biosynthetic process",740,532,335.15,1e-30,1.73970588235294e-29
"GO:0009651","response to salt stress",1567,994,709.71,1e-30,1.73970588235294e-29
"GO:1901607","alpha-amino acid biosynthetic process",625,463,283.07,1e-30,1.73970588235294e-29
"GO:0048731","system development",6506,3476,2946.63,1e-30,1.73970588235294e-29
"GO:0055086","nucleobase-containing small molecule met...",1963,1203,889.06,1e-30,1.73970588235294e-29
"GO:0010038","response to metal ion",1146,761,519.03,1e-30,1.73970588235294e-29
"GO:0009069","serine family amino acid metabolic proce...",383,312,173.46,1e-30,1.73970588235294e-29
"GO:0048589","developmental growth",1527,969,691.59,1e-30,1.73970588235294e-29
"GO:0019693","ribose phosphate metabolic process",1435,919,649.92,1e-30,1.73970588235294e-29
"GO:0009259","ribonucleotide metabolic process",1434,918,649.47,1e-30,1.73970588235294e-29
"GO:0044550","secondary metabolite biosynthetic proces...",918,631,415.77,1e-30,1.73970588235294e-29
"GO:0006740","NADPH regeneration",247,220,111.87,1e-30,1.73970588235294e-29
"GO:0051156","glucose 6-phosphate metabolic process",247,220,111.87,1e-30,1.73970588235294e-29
"GO:0006820","anion transport",3701,2090,1676.22,1e-30,1.73970588235294e-29
"GO:0006720","isoprenoid metabolic process",849,591,384.52,1e-30,1.73970588235294e-29
"GO:0006098","pentose-phosphate shunt",246,219,111.42,1e-30,1.73970588235294e-29
"GO:0006739","NADP metabolic process",265,232,120.02,1e-30,1.73970588235294e-29
"GO:0019684","photosynthesis, light reaction",497,381,225.1,1e-30,1.73970588235294e-29
"GO:0090558","plant epidermis development",1141,753,516.77,1e-30,1.73970588235294e-29
"GO:0009743","response to carbohydrate",1301,840,589.23,1e-30,1.73970588235294e-29
"GO:0010207","photosystem II assembly",188,176,85.15,1e-30,1.73970588235294e-29
"GO:0042440","pigment metabolic process",686,493,310.7,1e-30,1.73970588235294e-29
"GO:0000096","sulfur amino acid metabolic process",501,381,226.91,1e-30,1.73970588235294e-29
"GO:0044262","cellular carbohydrate metabolic process",1699,1047,769.49,1e-30,1.73970588235294e-29
"GO:0033993","response to lipid",2330,1377,1055.28,1e-30,1.73970588235294e-29
"GO:0048608","reproductive structure development",3048,1744,1380.47,1e-30,1.73970588235294e-29
"GO:0061458","reproductive system development",3048,1744,1380.47,1e-30,1.73970588235294e-29
"GO:0071310","cellular response to organic substance",2494,1461,1129.56,1e-30,1.73970588235294e-29
"GO:0006810","transport",7662,3998,3470.19,1e-30,1.73970588235294e-29
"GO:0022607","cellular component assembly",2427,1425,1099.21,1e-30,1.73970588235294e-29
"GO:1901576","organic substance biosynthetic process",13965,6934,6324.87,1e-30,1.73970588235294e-29
"GO:0046148","pigment biosynthetic process",503,378,227.81,1e-30,1.73970588235294e-29
"GO:0000271","polysaccharide biosynthetic process",1050,692,475.55,1e-30,1.73970588235294e-29
"GO:0071705","nitrogen compound transport",3166,1797,1433.91,1e-30,1.73970588235294e-29
"GO:0014070","response to organic cyclic compound",1474,922,667.59,1e-30,1.73970588235294e-29
"GO:0044282","small molecule catabolic process",1878,1136,850.56,1e-30,1.73970588235294e-29
"GO:0009617","response to bacterium",1194,770,540.77,1e-30,1.73970588235294e-29
"GO:0000097","sulfur amino acid biosynthetic process",427,330,193.39,1e-30,1.73970588235294e-29
"GO:0044264","cellular polysaccharide metabolic proces...",1283,817,581.08,1e-30,1.73970588235294e-29
"GO:0034622","cellular protein-containing complex asse...",1407,883,637.24,1e-30,1.73970588235294e-29
"GO:0009266","response to temperature stimulus",1651,1013,747.75,1e-30,1.73970588235294e-29
"GO:0007275","multicellular organism development",9665,4928,4377.37,1e-30,1.73970588235294e-29
"GO:0009658","chloroplast organization",412,319,186.6,1e-30,1.73970588235294e-29
"GO:1901701","cellular response to oxygen-containing c...",2013,1201,911.71,1e-30,1.73970588235294e-29
"GO:0051234","establishment of localization",8172,4221,3701.17,1e-30,1.73970588235294e-29
"GO:0016052","carbohydrate catabolic process",976,646,442.04,1e-30,1.73970588235294e-29
"GO:0006066","alcohol metabolic process",866,584,392.22,1e-30,1.73970588235294e-29
"GO:0006006","glucose metabolic process",627,447,283.97,1e-30,1.73970588235294e-29
"GO:0009653","anatomical structure morphogenesis",4060,2232,1838.81,1e-30,1.73970588235294e-29
"GO:0009626","plant-type hypersensitive response",808,550,365.95,1e-30,1.73970588235294e-29
"GO:0045087","innate immune response",1158,744,524.47,1e-30,1.73970588235294e-29
"GO:0034050","programmed cell death induced by symbion...",810,551,366.86,1e-30,1.73970588235294e-29
"GO:0045229","external encapsulating structure organiz...",1470,912,665.78,1e-30,1.73970588235294e-29
"GO:0051702","biological process involved in interacti...",812,552,367.76,1e-30,1.73970588235294e-29
"GO:0005996","monosaccharide metabolic process",800,545,362.33,1e-30,1.73970588235294e-29
"GO:0031347","regulation of defense response",1057,688,478.72,1e-30,1.73970588235294e-29
"GO:0048437","floral organ development",936,621,423.92,1e-30,1.73970588235294e-29
"GO:0065003","protein-containing complex assembly",1590,974,720.13,1e-30,1.73970588235294e-29
"GO:0071702","organic substance transport",3314,1857,1500.94,1e-30,1.73970588235294e-29
"GO:0019318","hexose metabolic process",702,488,317.94,1e-30,1.73970588235294e-29
"GO:0009056","catabolic process",5367,2865,2430.76,1e-30,1.73970588235294e-29
"GO:0090567","reproductive shoot system development",1568,960,710.16,1e-30,1.73970588235294e-29
"GO:0006534","cysteine metabolic process",302,246,136.78,1e-30,1.73970588235294e-29
"GO:0009908","flower development",1546,948,700.2,1e-30,1.73970588235294e-29
"GO:0048513","animal organ development",3864,2127,1750.04,1e-30,1.73970588235294e-29
"GO:0019320","hexose catabolic process",470,350,212.87,1e-30,1.73970588235294e-29
"GO:0090698","post-embryonic plant morphogenesis",906,601,410.34,1e-30,1.73970588235294e-29
"GO:0009070","serine family amino acid biosynthetic pr...",315,254,142.67,1e-30,1.73970588235294e-29
"GO:0048438","floral whorl development",817,551,370.03,1e-30,1.73970588235294e-29
"GO:0046365","monosaccharide catabolic process",492,363,222.83,1e-30,1.73970588235294e-29
"GO:1901575","organic substance catabolic process",4535,2455,2053.94,1e-30,1.73970588235294e-29
"GO:0006605","protein targeting",1231,778,557.53,1e-30,1.73970588235294e-29
"GO:0006007","glucose catabolic process",448,336,202.9,1e-30,1.73970588235294e-29
"GO:0006073","cellular glucan metabolic process",831,558,376.37,1e-30,1.73970588235294e-29
"GO:0071555","cell wall organization",1377,856,623.66,1e-30,1.73970588235294e-29
"GO:0043903","regulation of biological process involve...",666,464,301.64,1e-30,1.73970588235294e-29
"GO:0010363","regulation of plant-type hypersensitive ...",649,454,293.94,1e-30,1.73970588235294e-29
"GO:0044042","glucan metabolic process",843,564,381.8,1e-30,1.73970588235294e-29
"GO:0048364","root development",1215,768,550.28,1e-30,1.73970588235294e-29
"GO:0022622","root system development",1217,769,551.19,1e-30,1.73970588235294e-29
"GO:0046165","alcohol biosynthetic process",511,373,231.44,1e-30,1.73970588235294e-29
"GO:0019344","cysteine biosynthetic process",295,240,133.61,1e-30,1.73970588235294e-29
"GO:0032870","cellular response to hormone stimulus",1933,1146,875.47,1e-30,1.73970588235294e-29
"GO:0022414","reproductive process",4636,2499,2099.69,1e-30,1.73970588235294e-29
"GO:0003006","developmental process involved in reprod...",3920,2147,1775.4,1e-30,1.73970588235294e-29
"GO:0016310","phosphorylation",3619,1998,1639.08,1e-30,1.73970588235294e-29
"GO:0009755","hormone-mediated signaling pathway",1829,1091,828.37,1e-30,1.73970588235294e-29
"GO:0071669","plant-type cell wall organization or bio...",974,635,441.13,1e-30,1.73970588235294e-29
"GO:1901137","carbohydrate derivative biosynthetic pro...",1483,909,671.66,1e-30,1.73970588235294e-29
"GO:0008654","phospholipid biosynthetic process",614,432,278.09,1e-30,1.73970588235294e-29
"GO:0006612","protein targeting to membrane",663,460,300.28,1e-30,1.73970588235294e-29
"GO:0010817","regulation of hormone levels",1038,668,470.12,1e-30,1.73970588235294e-29
"GO:0050793","regulation of developmental process",1707,1023,773.12,1e-30,1.73970588235294e-29
"GO:1901698","response to nitrogen compound",1296,806,586.97,1e-30,1.73970588235294e-29
"GO:0090150","establishment of protein localization to...",714,486,323.38,1e-30,1.73970588235294e-29
"GO:0051704","multi-organism process",3185,1772,1442.52,1e-30,1.73970588235294e-29
"GO:0048569","post-embryonic animal organ development",1004,646,454.72,1e-30,1.73970588235294e-29
"GO:0000003","reproduction",4930,2629,2232.84,1e-30,1.73970588235294e-29
"GO:0042254","ribosome biogenesis",756,508,342.4,1e-30,1.73970588235294e-29
"GO:0072657","protein localization to membrane",741,499,335.61,1e-30,1.73970588235294e-29
"GO:0072521","purine-containing compound metabolic pro...",1461,889,661.7,1e-30,1.73970588235294e-29
"GO:0080134","regulation of response to stress",1202,751,544.4,1e-30,1.73970588235294e-29
"GO:0045088","regulation of innate immune response",749,503,339.23,1e-30,1.73970588235294e-29
"GO:0009698","phenylpropanoid metabolic process",742,498,336.06,1e-30,1.73970588235294e-29
"GO:0009150","purine ribonucleotide metabolic process",1261,781,571.12,1e-30,1.73970588235294e-29
