"GO.ID","Term","Annotated","Significant","Expected","classicFisher","q_value"
"GO:0010035","response to inorganic substance",2650,44,10.58,7.6e-17,2.69724e-13
"GO:0009628","response to abiotic stimulus",4953,59,19.78,2.7e-16,4.79115e-13
"GO:0009266","response to temperature stimulus",1651,34,6.59,1.3e-15,1.5379e-12
"GO:1901700","response to oxygen-containing compound",4357,54,17.4,2e-15,1.7745e-12
"GO:0097305","response to alcohol",1585,32,6.33,1.9e-14,9.633e-12
"GO:0009644","response to high light intensity",325,17,1.3,1.9e-14,9.633e-12
"GO:0009408","response to heat",511,20,2.04,1.9e-14,9.633e-12
"GO:0009415","response to water",920,25,3.67,3.2e-14,1.3013e-11
"GO:0042221","response to chemical",7726,71,30.85,3.3e-14,1.3013e-11
"GO:0001101","response to acid chemical",942,25,3.76,5.4e-14,1.91646e-11
"GO:0009414","response to water deprivation",895,24,3.57,1.5e-13,4.43625e-11
"GO:0010033","response to organic substance",5165,56,20.63,1.5e-13,4.43625e-11
"GO:0006979","response to oxidative stress",1183,27,4.72,1.7e-13,4.641e-11
"GO:0009642","response to light intensity",445,18,1.78,2.5e-13,6.3375e-11
"GO:0000302","response to reactive oxygen species",776,22,3.1,5.7e-13,1.34862e-10
"GO:0006970","response to osmotic stress",1690,31,6.75,6.4e-13,1.4196e-10
"GO:0009737","response to abscisic acid",1398,27,5.58,8.1e-12,1.69099411764706e-09
"GO:0009651","response to salt stress",1567,28,6.26,1.9e-11,3.73578947368421e-09
"GO:0010286","heat acclimation",147,11,0.59,2e-11,3.73578947368421e-09
"GO:0033993","response to lipid",2330,33,9.3,1e-10,1.7745e-08
"GO:0006972","hyperosmotic response",495,16,1.98,1.6e-10,2.704e-08
"GO:0042542","response to hydrogen peroxide",506,16,2.02,2.2e-10,3.549e-08
"GO:0009725","response to hormone",3459,38,13.81,4.1e-09,6.32647826086957e-07
"GO:0009416","response to light stimulus",2044,28,8.16,7.6e-09,1.093092e-06
"GO:0045471","response to ethanol",18,5,0.07,7.7e-09,1.093092e-06
"GO:0006457","protein folding",488,14,1.95,1.1e-08,1.5015e-06
"GO:0009719","response to endogenous stimulus",3609,38,14.41,1.3e-08,1.70877777777778e-06
"GO:0009314","response to radiation",2141,28,8.55,2.1e-08,2.56996551724138e-06
"GO:0006950","response to stress",9673,69,38.63,2.1e-08,2.56996551724138e-06
"GO:0046688","response to copper ion",46,6,0.18,3e-08,3.549e-06
"GO:0071215","cellular response to abscisic acid stimu...",649,15,2.59,5.4e-08,6.18212903225806e-06
"GO:0042538","hyperosmotic salinity response",344,11,1.37,1.5e-07,1.66359375e-05
"GO:0009738","abscisic acid-activated signaling pathwa...",606,14,2.42,1.6e-07,1.72072727272727e-05
"GO:0097306","cellular response to alcohol",726,15,2.9,2.3e-07,2.40079411764706e-05
"GO:0046685","response to arsenic-containing substance",73,6,0.29,4.9e-07,4.9686e-05
