"GO.ID","Term","Annotated","Significant","Expected","classicFisher","q_value"
"GO:0009628","response to abiotic stimulus",4953,4055,3020.27,1e-30,1.15602605863192e-29
"GO:0042221","response to chemical",7726,5850,4711.21,1e-30,1.15602605863192e-29
"GO:0044281","small molecule metabolic process",6862,5254,4184.36,1e-30,1.15602605863192e-29
"GO:1901566","organonitrogen compound biosynthetic pro...",4115,3333,2509.27,1e-30,1.15602605863192e-29
"GO:1901700","response to oxygen-containing compound",4357,3488,2656.84,1e-30,1.15602605863192e-29
"GO:0010033","response to organic substance",5165,4040,3149.55,1e-30,1.15602605863192e-29
"GO:1901135","carbohydrate derivative metabolic proces...",3041,2523,1854.36,1e-30,1.15602605863192e-29
"GO:0044283","small molecule biosynthetic process",3445,2807,2100.72,1e-30,1.15602605863192e-29
"GO:0043436","oxoacid metabolic process",3839,3079,2340.97,1e-30,1.15602605863192e-29
"GO:0006082","organic acid metabolic process",3931,3141,2397.07,1e-30,1.15602605863192e-29
"GO:1901564","organonitrogen compound metabolic proces...",12830,8967,7823.56,1e-30,1.15602605863192e-29
"GO:0019752","carboxylic acid metabolic process",3678,2944,2242.8,1e-30,1.15602605863192e-29
"GO:0006796","phosphate-containing compound metabolic ...",6378,4759,3889.22,1e-30,1.15602605863192e-29
"GO:0006793","phosphorus metabolic process",6444,4802,3929.47,1e-30,1.15602605863192e-29
"GO:0019637","organophosphate metabolic process",2737,2252,1668.99,1e-30,1.15602605863192e-29
"GO:0009605","response to external stimulus",4269,3324,2603.18,1e-30,1.15602605863192e-29
"GO:0010035","response to inorganic substance",2650,2176,1615.94,1e-30,1.15602605863192e-29
"GO:0032787","monocarboxylic acid metabolic process",2557,2108,1559.22,1e-30,1.15602605863192e-29
"GO:0044085","cellular component biogenesis",3678,2891,2242.8,1e-30,1.15602605863192e-29
"GO:0006811","ion transport",4850,3684,2957.47,1e-30,1.15602605863192e-29
"GO:0006820","anion transport",3701,2882,2256.82,1e-30,1.15602605863192e-29
"GO:0009725","response to hormone",3459,2706,2109.25,1e-30,1.15602605863192e-29
"GO:0009719","response to endogenous stimulus",3609,2801,2200.72,1e-30,1.15602605863192e-29
"GO:0005975","carbohydrate metabolic process",3211,2523,1958.03,1e-30,1.15602605863192e-29
"GO:0043207","response to external biotic stimulus",3075,2428,1875.09,1e-30,1.15602605863192e-29
"GO:0051707","response to other organism",3070,2424,1872.05,1e-30,1.15602605863192e-29
"GO:0016053","organic acid biosynthetic process",1839,1545,1121.4,1e-30,1.15602605863192e-29
"GO:0071702","organic substance transport",3314,2587,2020.83,1e-30,1.15602605863192e-29
"GO:0046394","carboxylic acid biosynthetic process",1683,1429,1026.27,1e-30,1.15602605863192e-29
"GO:0008610","lipid biosynthetic process",2033,1682,1239.7,1e-30,1.15602605863192e-29
"GO:0006810","transport",7662,5478,4672.19,1e-30,1.15602605863192e-29
"GO:0071705","nitrogen compound transport",3166,2479,1930.59,1e-30,1.15602605863192e-29
"GO:0009791","post-embryonic development",4032,3068,2458.66,1e-30,1.15602605863192e-29
"GO:0009607","response to biotic stimulus",3249,2532,1981.2,1e-30,1.15602605863192e-29
"GO:0048608","reproductive structure development",3048,2391,1858.63,1e-30,1.15602605863192e-29
"GO:0061458","reproductive system development",3048,2391,1858.63,1e-30,1.15602605863192e-29
"GO:0009056","catabolic process",5367,3961,3272.73,1e-30,1.15602605863192e-29
"GO:1901575","organic substance catabolic process",4535,3402,2765.38,1e-30,1.15602605863192e-29
"GO:0048367","shoot system development",2366,1910,1442.76,1e-30,1.15602605863192e-29
"GO:0099402","plant organ development",2572,2053,1568.37,1e-30,1.15602605863192e-29
"GO:0044419","biological process involved in interspec...",3263,2532,1989.73,1e-30,1.15602605863192e-29
"GO:0050896","response to stimulus",17671,11706,10775.54,1e-30,1.15602605863192e-29
"GO:0009314","response to radiation",2141,1746,1305.55,1e-30,1.15602605863192e-29
"GO:0051234","establishment of localization",8172,5781,4983.18,1e-30,1.15602605863192e-29
"GO:1901576","organic substance biosynthetic process",13965,9419,8515.67,1e-30,1.15602605863192e-29
"GO:0009416","response to light stimulus",2044,1669,1246.4,1e-30,1.15602605863192e-29
"GO:0003006","developmental process involved in reprod...",3920,2968,2390.36,1e-30,1.15602605863192e-29
"GO:0044282","small molecule catabolic process",1878,1548,1145.18,1e-30,1.15602605863192e-29
"GO:0044255","cellular lipid metabolic process",2545,2019,1551.91,1e-30,1.15602605863192e-29
"GO:0006790","sulfur compound metabolic process",1249,1084,761.62,1e-30,1.15602605863192e-29
"GO:0006970","response to osmotic stress",1690,1408,1030.54,1e-30,1.15602605863192e-29
"GO:0098542","defense response to other organism",2289,1835,1395.8,1e-30,1.15602605863192e-29
"GO:0006629","lipid metabolic process",3648,2774,2224.5,1e-30,1.15602605863192e-29
"GO:0048731","system development",6506,4672,3967.27,1e-30,1.15602605863192e-29
"GO:0022414","reproductive process",4636,3437,2826.97,1e-30,1.15602605863192e-29
"GO:0006950","response to stress",9673,6703,5898.47,1e-30,1.15602605863192e-29
"GO:0022607","cellular component assembly",2427,1924,1479.95,1e-30,1.15602605863192e-29
"GO:0009651","response to salt stress",1567,1311,955.54,1e-30,1.15602605863192e-29
"GO:0009266","response to temperature stimulus",1651,1370,1006.76,1e-30,1.15602605863192e-29
"GO:1901615","organic hydroxy compound metabolic proce...",1517,1272,925.05,1e-30,1.15602605863192e-29
"GO:0033036","macromolecule localization",2957,2288,1803.14,1e-30,1.15602605863192e-29
"GO:0090407","organophosphate biosynthetic process",1442,1214,879.31,1e-30,1.15602605863192e-29
"GO:0000003","reproduction",4930,3609,3006.25,1e-30,1.15602605863192e-29
"GO:0055086","nucleobase-containing small molecule met...",1963,1585,1197.01,1e-30,1.15602605863192e-29
"GO:0009117","nucleotide metabolic process",1787,1457,1089.69,1e-30,1.15602605863192e-29
"GO:0042886","amide transport",2301,1819,1403.12,1e-30,1.15602605863192e-29
"GO:0006753","nucleoside phosphate metabolic process",1806,1469,1101.27,1e-30,1.15602605863192e-29
"GO:0033993","response to lipid",2330,1837,1420.8,1e-30,1.15602605863192e-29
"GO:0070887","cellular response to chemical stimulus",3232,2458,1970.83,1e-30,1.15602605863192e-29
"GO:0015833","peptide transport",2278,1799,1389.09,1e-30,1.15602605863192e-29
"GO:0009743","response to carbohydrate",1301,1100,793.33,1e-30,1.15602605863192e-29
"GO:0051649","establishment of localization in cell",2805,2161,1710.45,1e-30,1.15602605863192e-29
"GO:0007275","multicellular organism development",9665,6643,5893.59,1e-30,1.15602605863192e-29
"GO:0046907","intracellular transport",2367,1855,1443.37,1e-30,1.15602605863192e-29
"GO:0009888","tissue development",2420,1890,1475.68,1e-30,1.15602605863192e-29
"GO:0005996","monosaccharide metabolic process",800,719,487.83,1e-30,1.15602605863192e-29
"GO:0051179","localization",9546,6557,5821.02,1e-30,1.15602605863192e-29
"GO:0008104","protein localization",2416,1885,1473.24,1e-30,1.15602605863192e-29
"GO:0040007","growth",1973,1574,1203.11,1e-30,1.15602605863192e-29
"GO:0071310","cellular response to organic substance",2494,1937,1520.81,1e-30,1.15602605863192e-29
"GO:0015031","protein transport",2133,1685,1300.68,1e-30,1.15602605863192e-29
"GO:0045184","establishment of protein localization",2189,1722,1334.82,1e-30,1.15602605863192e-29
"GO:0006520","cellular amino acid metabolic process",1404,1165,856.14,1e-30,1.15602605863192e-29
"GO:1901605","alpha-amino acid metabolic process",920,807,561,1e-30,1.15602605863192e-29
"GO:0006886","intracellular protein transport",1724,1394,1051.27,1e-30,1.15602605863192e-29
