"GO.ID","Term","Annotated","Significant","Expected","classicFisher","q_value"
"GO:0009628","response to abiotic stimulus",4953,4033,3248.95,1e-30,2.31960784313725e-29
"GO:1901700","response to oxygen-containing compound",4357,3511,2858,1e-30,2.31960784313725e-29
"GO:0042221","response to chemical",7726,5845,5067.92,1e-30,2.31960784313725e-29
"GO:0010033","response to organic substance",5165,4040,3388.01,1e-30,2.31960784313725e-29
"GO:0006796","phosphate-containing compound metabolic ...",6378,4888,4183.69,1e-30,2.31960784313725e-29
"GO:0006793","phosphorus metabolic process",6444,4931,4226.98,1e-30,2.31960784313725e-29
"GO:1901564","organonitrogen compound metabolic proces...",12830,9273,8415.92,1e-30,2.31960784313725e-29
"GO:0044281","small molecule metabolic process",6862,5200,4501.17,1e-30,2.31960784313725e-29
"GO:0009605","response to external stimulus",4269,3367,2800.28,1e-30,2.31960784313725e-29
"GO:0003006","developmental process involved in reprod...",3920,3107,2571.35,1e-30,2.31960784313725e-29
"GO:0048608","reproductive structure development",3048,2469,1999.35,1e-30,2.31960784313725e-29
"GO:0061458","reproductive system development",3048,2469,1999.35,1e-30,2.31960784313725e-29
"GO:0022414","reproductive process",4636,3610,3041.01,1e-30,2.31960784313725e-29
"GO:1901135","carbohydrate derivative metabolic proces...",3041,2453,1994.76,1e-30,2.31960784313725e-29
"GO:0044283","small molecule biosynthetic process",3445,2739,2259.77,1e-30,2.31960784313725e-29
"GO:0009791","post-embryonic development",4032,3160,2644.82,1e-30,2.31960784313725e-29
"GO:0000003","reproduction",4930,3788,3233.86,1e-30,2.31960784313725e-29
"GO:0019637","organophosphate metabolic process",2737,2204,1795.35,1e-30,2.31960784313725e-29
"GO:0009314","response to radiation",2141,1764,1404.4,1e-30,2.31960784313725e-29
"GO:1901575","organic substance catabolic process",4535,3488,2974.76,1e-30,2.31960784313725e-29
"GO:1901566","organonitrogen compound biosynthetic pro...",4115,3189,2699.26,1e-30,2.31960784313725e-29
"GO:0009719","response to endogenous stimulus",3609,2825,2367.35,1e-30,2.31960784313725e-29
"GO:0009725","response to hormone",3459,2717,2268.95,1e-30,2.31960784313725e-29
"GO:0009056","catabolic process",5367,4066,3520.52,1e-30,2.31960784313725e-29
"GO:0009416","response to light stimulus",2044,1682,1340.77,1e-30,2.31960784313725e-29
"GO:0048731","system development",6506,4845,4267.65,1e-30,2.31960784313725e-29
"GO:0043436","oxoacid metabolic process",3839,2975,2518.22,1e-30,2.31960784313725e-29
"GO:0006082","organic acid metabolic process",3931,3039,2578.56,1e-30,2.31960784313725e-29
"GO:0044282","small molecule catabolic process",1878,1553,1231.89,1e-30,2.31960784313725e-29
"GO:0010035","response to inorganic substance",2650,2119,1738.28,1e-30,2.31960784313725e-29
"GO:0033993","response to lipid",2330,1884,1528.38,1e-30,2.31960784313725e-29
"GO:0006811","ion transport",4850,3677,3181.39,1e-30,2.31960784313725e-29
"GO:0019752","carboxylic acid metabolic process",3678,2848,2412.61,1e-30,2.31960784313725e-29
"GO:0009266","response to temperature stimulus",1651,1376,1082.98,1e-30,2.31960784313725e-29
"GO:0048367","shoot system development",2366,1903,1551.99,1e-30,2.31960784313725e-29
"GO:0071310","cellular response to organic substance",2494,1994,1635.95,1e-30,2.31960784313725e-29
"GO:0010154","fruit development",1447,1220,949.17,1e-30,2.31960784313725e-29
"GO:0048316","seed development",1305,1111,856.02,1e-30,2.31960784313725e-29
"GO:0099402","plant organ development",2572,2046,1687.12,1e-30,2.31960784313725e-29
"GO:0044248","cellular catabolic process",4164,3181,2731.4,1e-30,2.31960784313725e-29
"GO:0043207","response to external biotic stimulus",3075,2406,2017.07,1e-30,2.31960784313725e-29
"GO:0070887","cellular response to chemical stimulus",3232,2518,2120.05,1e-30,2.31960784313725e-29
"GO:0051707","response to other organism",3070,2402,2013.79,1e-30,2.31960784313725e-29
"GO:0071705","nitrogen compound transport",3166,2468,2076.76,1e-30,2.31960784313725e-29
"GO:0005975","carbohydrate metabolic process",3211,2496,2106.28,1e-30,2.31960784313725e-29
"GO:0006820","anion transport",3701,2844,2427.69,1e-30,2.31960784313725e-29
"GO:0044255","cellular lipid metabolic process",2545,2016,1669.41,1e-30,2.31960784313725e-29
"GO:0050896","response to stimulus",17671,12259,11591.4,1e-30,2.31960784313725e-29
"GO:0043412","macromolecule modification",7672,5592,5032.5,1e-30,2.31960784313725e-29
"GO:0040007","growth",1973,1596,1294.2,1e-30,2.31960784313725e-29
"GO:0007275","multicellular organism development",9665,6933,6339.82,1e-30,2.31960784313725e-29
"GO:0097305","response to alcohol",1585,1305,1039.69,1e-30,2.31960784313725e-29
"GO:0008610","lipid biosynthetic process",2033,1634,1333.56,1e-30,2.31960784313725e-29
"GO:0006970","response to osmotic stress",1690,1382,1108.57,1e-30,2.31960784313725e-29
"GO:0032787","monocarboxylic acid metabolic process",2557,2012,1677.28,1e-30,2.31960784313725e-29
"GO:1901701","cellular response to oxygen-containing c...",2013,1618,1320.44,1e-30,2.31960784313725e-29
"GO:0006950","response to stress",9673,6928,6345.06,1e-30,2.31960784313725e-29
"GO:0009743","response to carbohydrate",1301,1091,853.4,1e-30,2.31960784313725e-29
"GO:0044419","biological process involved in interspec...",3263,2514,2140.39,1e-30,2.31960784313725e-29
"GO:0009607","response to biotic stimulus",3249,2504,2131.2,1e-30,2.31960784313725e-29
"GO:0051649","establishment of localization in cell",2805,2185,1839.96,1e-30,2.31960784313725e-29
"GO:0044085","cellular component biogenesis",3678,2800,2412.61,1e-30,2.31960784313725e-29
"GO:0044270","cellular nitrogen compound catabolic pro...",1324,1103,868.49,1e-30,2.31960784313725e-29
"GO:0009793","embryo development ending in seed dorman...",1008,864,661.2,1e-30,2.31960784313725e-29
"GO:0098542","defense response to other organism",2289,1810,1501.48,1e-30,2.31960784313725e-29
