stress.type,direction,target.id
heat,upregulated,Solyc01g065840.4.1
heat,upregulated,Solyc01g095320.4.1
heat,upregulated,Solyc01g101070.3.1
heat,upregulated,Solyc01g102960.3.1
heat,upregulated,Solyc01g104740.3.1
heat,upregulated,Solyc02g030450.3.1
heat,upregulated,Solyc02g062130.5.1
heat,upregulated,Solyc02g079020.4.1
heat,upregulated,Solyc02g080130.5.1
heat,upregulated,Solyc03g063760.4.1
heat,upregulated,Solyc03g082420.3.1
heat,upregulated,Solyc03g083190.3.1
heat,upregulated,Solyc03g097960.1.1
heat,upregulated,Solyc03g113590.3.1
heat,upregulated,Solyc03g113930.3.1
heat,upregulated,Solyc03g117440.3.1
heat,upregulated,Solyc04g011440.4.1
heat,upregulated,Solyc04g014480.3.1
heat,upregulated,Solyc04g054290.3.1
heat,upregulated,Solyc05g014280.4.1
heat,upregulated,Solyc05g055010.4.1
heat,upregulated,Solyc06g011370.4.1
heat,upregulated,Solyc06g036290.3.1
heat,upregulated,Solyc06g076520.1.1
heat,upregulated,Solyc06g076560.2.1
heat,upregulated,Solyc06g076670.3.1
heat,upregulated,Solyc06g150138.1.1
heat,upregulated,Solyc07g065410.1.1
heat,upregulated,Solyc08g005420.3.1
heat,upregulated,Solyc08g006150.3.1
heat,upregulated,Solyc08g062340.3.1
heat,upregulated,Solyc08g066940.4.1
heat,upregulated,Solyc08g067960.3.1
heat,upregulated,Solyc08g078700.3.1
heat,upregulated,Solyc09g007270.3.1
heat,upregulated,Solyc09g008970.1.1
heat,upregulated,Solyc09g011410.4.1
heat,upregulated,Solyc09g015000.4.1
heat,upregulated,Solyc10g006610.5.1
heat,upregulated,Solyc10g081480.2.1
heat,upregulated,Solyc10g084400.2.1
heat,upregulated,Solyc11g020040.2.1
heat,upregulated,Solyc11g066100.2.1
heat,upregulated,Solyc11g066830.2.1
heat,upregulated,Solyc11g070060.2.1
heat,upregulated,Solyc11g071830.2.1
drought,upregulated,Solyc01g095320.4.1
drought,upregulated,Solyc01g095330.2.1
drought,upregulated,Solyc01g096320.3.1
drought,upregulated,Solyc01g096340.3.1
drought,upregulated,Solyc01g099810.3.1
drought,upregulated,Solyc01g099980.4.1
drought,upregulated,Solyc01g103990.3.1
drought,upregulated,Solyc01g106820.3.1
drought,upregulated,Solyc02g084850.3.1
drought,upregulated,Solyc02g084980.3.1
drought,upregulated,Solyc02g086530.4.1
drought,upregulated,Solyc03g007230.4.1
drought,upregulated,Solyc03g013440.5.1
drought,upregulated,Solyc03g078150.3.1
drought,upregulated,Solyc03g095650.3.1
drought,upregulated,Solyc03g096670.3.1
drought,upregulated,Solyc03g111100.1.1
drought,upregulated,Solyc03g114160.1.1
