gene,stress,reasonable_term
Solyc01g005500,heat,true
Solyc01g005730,heat,true
Solyc01g005760,heat,true
Solyc01g005780,heat,true
Solyc01g005870,heat,true
Solyc01g006110,heat,true
Solyc01g006550,heat,true
Solyc01g008240,heat,true
Solyc01g008410,heat,true
Solyc01g008660,heat,true
Solyc01g009220,heat,true
Solyc01g010310,heat,true
Solyc01g010650,heat,true
Solyc01g016370,heat,true
Solyc01g056660,heat,true
Solyc01g065570,heat,true
Solyc01g065710,heat,true
Solyc01g067910,heat,true
Solyc01g079170,heat,true
Solyc01g079200,heat,true
Solyc01g079470,heat,true
Solyc01g079610,heat,true
Solyc01g079760,heat,true
Solyc01g081200,heat,true
Solyc01g081330,heat,true
Solyc01g081530,heat,true
Solyc01g086740,heat,true
Solyc01g088650,heat,true
Solyc01g090550,heat,true
Solyc01g091000,heat,true
Solyc01g091350,heat,true
Solyc01g091590,heat,true
Solyc01g091660,heat,true
Solyc01g095140,heat,true
Solyc01g095150,heat,true
Solyc01g095200,heat,true
Solyc01g095320,heat,true
Solyc01g096130,heat,true
Solyc01g096960,heat,true
Solyc01g096980,heat,true
Solyc01g097190,heat,true
Solyc01g097220,heat,true
Solyc01g097250,heat,true
Solyc01g097510,heat,true
Solyc01g097540,heat,true
Solyc01g098180,heat,true
Solyc01g098790,heat,true
Solyc01g098810,heat,true
Solyc01g098950,heat,true
Solyc01g099620,heat,true
Solyc01g099660,heat,true
Solyc01g100230,heat,true
Solyc01g100380,heat,true
Solyc01g100400,heat,true
Solyc01g100830,heat,true
Solyc01g102960,heat,true
Solyc01g103380,heat,true
Solyc01g103450,heat,true
Solyc01g104740,heat,true
Solyc01g105340,heat,true
Solyc01g106210,heat,true
Solyc01g106260,heat,true
Solyc01g106470,heat,true
Solyc01g106650,heat,true
Solyc01g106820,heat,true
Solyc01g108190,heat,true
Solyc01g108500,heat,true
Solyc01g109520,heat,true
Solyc01g111600,heat,true
Solyc01g111670,heat,true
Solyc02g038805,heat,true
Solyc02g062100,heat,true
Solyc02g062160,heat,true
Solyc02g062570,heat,true
Solyc02g062580,heat,true
Solyc02g062590,heat,true
Solyc02g063350,heat,true
Solyc02g064740,heat,true
Solyc02g064850,heat,true
Solyc02g065000,heat,true
Solyc02g065720,heat,true
Solyc02g067670,heat,true
Solyc02g068510,heat,true
Solyc02g068640,heat,true
Solyc02g068730,heat,true
Solyc02g069310,heat,true
Solyc02g070250,heat,true
Solyc02g070480,heat,true
Solyc02g071170,heat,true
Solyc02g072000,heat,true
Solyc02g077360,heat,true
Solyc02g077450,heat,true
Solyc02g077670,heat,true
Solyc02g078360,heat,true
Solyc02g079060,heat,true
Solyc02g079415,heat,true
Solyc02g079930,heat,true
Solyc02g080410,heat,true
Solyc02g080470,heat,true
Solyc02g081550,heat,true
Solyc02g081560,heat,true
Solyc02g082230,heat,true
Solyc02g082390,heat,true
Solyc02g082420,heat,true
Solyc02g083550,heat,true
Solyc02g083630,heat,true
Solyc02g083690,heat,true
Solyc02g083710,heat,true
Solyc02g083835,heat,true
Solyc02g084970,heat,true
Solyc02g084980,heat,true
Solyc02g086840,heat,true
Solyc02g087210,heat,true
Solyc02g088610,heat,true
Solyc02g089300,heat,true
Solyc02g089350,heat,true
Solyc02g090820,heat,true
Solyc02g090840,heat,true
Solyc02g090890,heat,true
Solyc02g091330,heat,true
Solyc02g091500,heat,true
Solyc02g091510,heat,true
Solyc02g091830,heat,true
Solyc02g092860,heat,true
Solyc02g093600,heat,true
Solyc02g094000,heat,true
Solyc03g005040,heat,true
Solyc03g005470,heat,true
Solyc03g006000,heat,true
Solyc03g006950,heat,true
Solyc03g007230,heat,true
Solyc03g007330,heat,true
Solyc03g007670,heat,true
Solyc03g007700,heat,true
Solyc03g007710,heat,true
Solyc03g007740,heat,true
Solyc03g007890,heat,true
Solyc03g020010,heat,true
Solyc03g025860,heat,true
Solyc03g026020,heat,true
Solyc03g032060,heat,true
Solyc03g044200,heat,true
Solyc03g078630,heat,true
Solyc03g079900,heat,true
Solyc03g082420,heat,true
Solyc03g082780,heat,true
Solyc03g082920,heat,true
Solyc03g082980,heat,true
Solyc03g083390,heat,true
Solyc03g083970,heat,true
Solyc03g095510,heat,true
Solyc03g096730,heat,true
Solyc03g096920,heat,true
Solyc03g096930,heat,true
Solyc03g097120,heat,true
Solyc03g097240,heat,true
Solyc03g097530,heat,true
Solyc03g111010,heat,true
Solyc03g113170,heat,true
Solyc03g113180,heat,true
Solyc03g113930,heat,true
Solyc03g115200,heat,true
Solyc03g115230,heat,true
Solyc03g116060,heat,true
Solyc03g116790,heat,true
Solyc03g117020,heat,true
Solyc03g117620,heat,true
Solyc03g117630,heat,true
Solyc03g117950,heat,true
Solyc03g117980,heat,true
Solyc03g118010,heat,true
Solyc03g118040,heat,true
Solyc03g118050,heat,true
Solyc03g118500,heat,true
Solyc03g118550,heat,true
Solyc03g118810,heat,true
Solyc03g118820,heat,true
Solyc03g119190,heat,true
Solyc03g120090,heat,true
Solyc03g120410,heat,true
Solyc03g120750,heat,true
Solyc03g121360,heat,true
Solyc03g121640,heat,true
Solyc03g121800,heat,true
Solyc03g122090,heat,true
Solyc03g123540,heat,true
Solyc03g123560,heat,true
Solyc04g005420,heat,true
Solyc04g005480,heat,true
Solyc04g008000,heat,true
Solyc04g008090,heat,true
Solyc04g009320,heat,true
Solyc04g009770,heat,true
Solyc04g010200,heat,true
Solyc04g011460,heat,true
Solyc04g014480,heat,true
Solyc04g014790,heat,true
Solyc04g015180,heat,true
Solyc04g017720,heat,true
Solyc04g049010,heat,true
Solyc04g049450,heat,true
Solyc04g049490,heat,true
Solyc04g050820,heat,true
