set,source,target,paths,length
heat-core,Solyc01g095320.4.1,Solyc02g083850.3.1,"[['Solyc01g095320.4.1', 'Solyc03g114070.3.1', 'Solyc02g083850.3.1']]",3
heat-core,Solyc01g101070.3.1,Solyc02g083850.3.1,"[['Solyc01g101070.3.1', 'Solyc05g018300.3.1', 'Solyc02g083850.3.1']]",3
heat-core,Solyc01g102960.3.1,Solyc02g088340.4.1,"[['Solyc01g102960.3.1', 'Solyc03g007890.3.1', 'Solyc02g088340.4.1']]",3
heat-core,Solyc01g104740.3.1,Solyc06g005170.3.1,"[['Solyc01g104740.3.1', 'Solyc06g005170.3.1']]",2
heat-core,Solyc02g030450.3.1,Solyc02g083850.3.1,"[['Solyc02g030450.3.1', 'Solyc01g094150.3.1', 'Solyc02g083850.3.1']]",3
heat-core,Solyc02g079020.4.1,Solyc02g088340.4.1,"[['Solyc02g079020.4.1', 'Solyc11g005380.2.1', 'Solyc02g088340.4.1']]",3
heat-core,Solyc02g080130.5.1,Solyc02g083850.3.1,"[['Solyc02g080130.5.1', 'Solyc02g093530.4.1', 'Solyc02g083850.3.1']]",3
heat-core,Solyc03g063760.4.1,Solyc03g096730.3.1,"[['Solyc03g063760.4.1', 'Solyc03g007240.3.1', 'Solyc03g096730.3.1']]",3
heat-core,Solyc03g082420.3.1,Solyc08g005170.3.1,"[['Solyc03g082420.3.1', 'Solyc08g005170.3.1']]",2
heat-core,Solyc03g097960.1.1,Solyc02g083850.3.1,"[['Solyc03g097960.1.1', 'Solyc01g109830.3.1', 'Solyc02g083850.3.1']]",3
heat-core,Solyc03g113590.3.1,Solyc06g005170.3.1,"[['Solyc03g113590.3.1', 'Solyc06g005170.3.1']]",2
heat-core,Solyc03g113930.3.1,Solyc02g088340.4.1,"[['Solyc03g113930.3.1', 'Solyc03g007890.3.1', 'Solyc02g088340.4.1']]",3
heat-core,Solyc03g117440.3.1,Solyc02g078030.3.1,"[['Solyc03g117440.3.1', 'Solyc09g008740.1.1', 'Solyc02g078030.3.1']]",3
heat-core,Solyc04g011440.4.1,Solyc03g117590.3.1,"[['Solyc04g011440.4.1', 'Solyc03g117590.3.1']]",2
heat-core,Solyc04g014480.3.1,Solyc02g083850.3.1,"[['Solyc04g014480.3.1', 'Solyc03g114070.3.1', 'Solyc02g083850.3.1']]",3
heat-core,Solyc04g054290.3.1,Solyc03g117590.3.1,"[['Solyc04g054290.3.1', 'Solyc03g120630.5.1', 'Solyc03g117590.3.1']]",3
heat-core,Solyc05g014280.4.1,Solyc08g005170.3.1,"[['Solyc05g014280.4.1', 'Solyc08g005170.3.1']]",2
heat-core,Solyc05g055010.4.1,Solyc02g088340.4.1,"[['Solyc05g055010.4.1', 'Solyc03g007890.3.1', 'Solyc02g088340.4.1']]",3
heat-core,Solyc06g011370.4.1,Solyc03g117590.3.1,"[['Solyc06g011370.4.1', 'Solyc03g117590.3.1']]",2
heat-core,Solyc06g036290.3.1,Solyc02g088340.4.1,"[['Solyc06g036290.3.1', 'Solyc02g088340.4.1']]",2
heat-core,Solyc06g076520.1.1,Solyc02g083850.3.1,"[['Solyc06g076520.1.1', '4081.A7X331', 'Solyc02g083850.3.1']]",3
heat-core,Solyc06g076560.2.1,Solyc02g088340.4.1,"[['Solyc06g076560.2.1', 'Solyc03g007890.3.1', 'Solyc02g088340.4.1']]",3
heat-core,Solyc06g076670.3.1,Solyc02g083850.3.1,"[['Solyc06g076670.3.1', 'Solyc11g069590.2.1', 'Solyc02g083850.3.1']]",3
heat-core,Solyc07g065410.1.1,Solyc02g083850.3.1,"[['Solyc07g065410.1.1', 'Solyc03g093380.2.1', 'Solyc02g083850.3.1']]",3
heat-core,Solyc08g005420.3.1,Solyc02g078030.3.1,"[['Solyc08g005420.3.1', 'Solyc11g005720.1.1', 'Solyc02g078030.3.1']]",3
heat-core,Solyc08g006150.3.1,Solyc02g088340.4.1,"[['Solyc08g006150.3.1', 'Solyc05g052270.3.1', 'Solyc02g088340.4.1']]",3
heat-core,Solyc08g062340.3.1,Solyc08g005170.3.1,"[['Solyc08g062340.3.1', 'Solyc08g005170.3.1']]",2
heat-core,Solyc08g066940.4.1,Solyc07g047770.4.1,"[['Solyc08g066940.4.1', 'Solyc08g075570.4.1', 'Solyc07g047770.4.1']]",3
heat-core,Solyc08g067960.3.1,Solyc03g096730.3.1,"[['Solyc08g067960.3.1', 'Solyc03g096730.3.1']]",2
heat-core,Solyc08g078700.3.1,Solyc02g078030.3.1,"[['Solyc08g078700.3.1', 'Solyc02g068410.3.1', 'Solyc02g078030.3.1']]",3
heat-core,Solyc09g007270.3.1,Solyc04g078770.5.1,"[['Solyc09g007270.3.1', 'Solyc04g078770.5.1']]",2
heat-core,Solyc09g008970.1.1,Solyc06g005170.3.1,"[['Solyc09g008970.1.1', 'Solyc04g077970.5.1', 'Solyc06g005170.3.1']]",3
heat-core,Solyc09g011410.4.1,Solyc10g084170.1.1,"[['Solyc09g011410.4.1', 'Solyc10g084170.1.1']]",2
heat-core,Solyc10g006610.5.1,Solyc04g079980.3.1,"[['Solyc10g006610.5.1', 'Solyc04g079110.1.1', 'Solyc04g079980.3.1']]",3
heat-core,Solyc11g020040.2.1,Solyc03g096730.3.1,"[['Solyc11g020040.2.1', 'Solyc03g096730.3.1']]",2
heat-core,Solyc11g066100.2.1,Solyc03g117590.3.1,"[['Solyc11g066100.2.1', 'Solyc03g117590.3.1']]",2
heat-core,Solyc11g066830.2.1,Solyc06g005170.3.1,"[['Solyc11g066830.2.1', 'Solyc06g005170.3.1']]",2
heat-core,Solyc11g070060.2.1,Solyc02g083850.3.1,"[['Solyc11g070060.2.1', 'Solyc11g069590.2.1', 'Solyc02g083850.3.1']]",3
heat-core,Solyc11g071830.2.1,Solyc03g117590.3.1,"[['Solyc11g071830.2.1', 'Solyc03g117590.3.1']]",2
heat-core,Solyc01g102950.3.1,Solyc02g083850.3.1,"[['Solyc01g102950.3.1', 'Solyc01g111560.3.1', 'Solyc02g083850.3.1']]",3
heat-core,Solyc01g103760.3.1,Solyc02g088340.4.1,"[['Solyc01g103760.3.1', 'Solyc02g078550.3.1', 'Solyc02g088340.4.1']]",3
heat-core,Solyc03g096950.4.1,Solyc02g083850.3.1,"[['Solyc03g096950.4.1', 'Solyc01g109830.3.1', 'Solyc02g083850.3.1']]",3
heat-core,Solyc04g080850.3.1,Solyc02g083850.3.1,"[['Solyc04g080850.3.1', 'Solyc01g109830.3.1', 'Solyc02g083850.3.1']]",3
heat-core,Solyc07g006830.4.1,Solyc02g083850.3.1,"[['Solyc07g006830.4.1', 'Solyc10g079140.2.1', 'Solyc02g083850.3.1']]",3
heat-core,Solyc08g063090.2.1,Solyc12g019460.2.1,"[['Solyc08g063090.2.1', 'Solyc12g019460.2.1']]",2
heat-core,Solyc09g091510.3.1,Solyc07g007790.3.1,"[['Solyc09g091510.3.1', 'Solyc07g007790.3.1']]",2
heat-core,Solyc10g011810.4.1,Solyc02g088340.4.1,"[['Solyc10g011810.4.1', 'Solyc08g078400.3.1', 'Solyc02g088340.4.1']]",3
heat-core,Solyc10g012410.3.1,Solyc02g088340.4.1,"[['Solyc10g012410.3.1', 'Solyc07g008340.4.1', 'Solyc02g088340.4.1']]",3
heat-core,Solyc12g055930.3.1,Solyc03g096730.3.1,"[['Solyc12g055930.3.1', 'Solyc03g096730.3.1']]",2
random,Solyc09g015580.1.1,Solyc06g005170.3.1,"[['Solyc09g015580.1.1', '4081.A0A3Q7EM34', 'Solyc06g005170.3.1']]",3
random,Solyc09g065920.3.1,Solyc02g088340.4.1,"[['Solyc09g065920.3.1', '4081.A0A3Q7J9Z7', 'Solyc02g088340.4.1']]",3
random,Solyc01g010870.3.1,Solyc10g084170.1.1,"[['Solyc01g010870.3.1', 'Solyc05g055880.4.1', 'Solyc10g084170.1.1']]",3
random,Solyc06g060680.2.1,Solyc02g083850.3.1,"[['Solyc06g060680.2.1', 'Solyc02g083850.3.1']]",2
random,Solyc02g086200.4.1,Solyc05g007100.3.1,"[['Solyc02g086200.4.1', 'Solyc05g007100.3.1']]",2
