target,deepest_level,set
Solyc01g065840.4.1,13,hs_core
Solyc01g095320.4.1,9,hs_core
Solyc01g101070.3.1,1,hs_core
Solyc01g102950.3.1,1,hs_core
Solyc01g102960.3.1,8,hs_core
Solyc01g103760.3.1,1,hs_core
Solyc01g104740.3.1,1,hs_core
Solyc02g030450.3.1,1,hs_core
Solyc02g062130.5.1,0,hs_core
Solyc02g079020.4.1,11,hs_core
Solyc02g080130.5.1,1,hs_core
Solyc03g063760.4.1,1,hs_core
Solyc03g082420.3.1,5,hs_core
Solyc03g083190.3.1,8,hs_core
Solyc03g096950.4.1,1,hs_core
Solyc03g097960.1.1,9,hs_core
Solyc03g113590.3.1,1,hs_core
Solyc03g113930.3.1,8,hs_core
Solyc03g117440.3.1,1,hs_core
Solyc04g011440.4.1,0,hs_core
Solyc04g014480.3.1,7,hs_core
Solyc04g054290.3.1,1,hs_core
Solyc04g080850.3.1,1,hs_core
Solyc05g014280.4.1,8,hs_core
Solyc05g055010.4.1,6,hs_core
Solyc06g011370.4.1,0,hs_core
Solyc06g036290.3.1,0,hs_core
Solyc06g076520.1.1,7,hs_core
Solyc06g076560.2.1,7,hs_core
Solyc06g076670.3.1,8,hs_core
Solyc06g082710.5.1,10,hs_core
Solyc06g150138.1.1,16,hs_core
Solyc07g006830.4.1,5,hs_core
Solyc07g065410.1.1,14,hs_core
Solyc08g005420.3.1,1,hs_core
Solyc08g006150.3.1,1,hs_core
Solyc08g062340.3.1,4,hs_core
Solyc08g063090.2.1,1,hs_core
Solyc08g066940.4.1,10,hs_core
Solyc08g067960.3.1,1,hs_core
Solyc08g078700.3.1,9,hs_core
Solyc09g007270.3.1,1,hs_core
Solyc09g008970.1.1,9,hs_core
Solyc09g011410.4.1,13,hs_core
Solyc09g015000.4.1,1,hs_core
Solyc09g091510.3.1,0,hs_core
Solyc10g006610.5.1,0,hs_core
Solyc10g011810.4.1,1,hs_core
Solyc10g012410.3.1,0,hs_core
Solyc10g081480.2.1,6,hs_core
Solyc10g084400.2.1,1,hs_core
Solyc11g020040.2.1,0,hs_core
Solyc11g066100.2.1,0,hs_core
Solyc11g066830.2.1,1,hs_core
Solyc11g070060.2.1,1,hs_core
Solyc11g071830.2.1,1,hs_core
Solyc12g055930.3.1,1,hs_core
Solyc00g025300.1.1,9,random
Solyc00g052530.2.1,16,random
Solyc00g107050.2.1,16,random
Solyc00g500125.1.1,11,random
Solyc00g500188.1.1,16,random
Solyc00g500342.1.1,16,random
Solyc00g500371.1.1,1,random
Solyc01g005380.4.1,5,random
Solyc01g005690.4.1,10,random
Solyc01g005780.1.1,10,random
Solyc01g005800.3.1,6,random
Solyc01g006140.4.1,1,random
Solyc01g006170.5.1,2,random
Solyc01g006555.2.1,5,random
Solyc01g006600.3.1,8,random
Solyc01g007240.3.1,1,random
Solyc01g007790.4.1,16,random
Solyc01g008090.4.1,1,random
Solyc01g009970.3.1,16,random
Solyc01g016300.1.1,16,random
Solyc01g020150.4.1,1,random
Solyc01g057390.2.1,5,random
Solyc01g060070.3.1,16,random
Solyc01g060180.4.1,5,random
Solyc01g065647.1.1,1,random
Solyc01g066760.2.1,8,random
Solyc01g068100.4.1,16,random
Solyc01g068320.3.1,10,random
Solyc01g079360.4.1,7,random
Solyc01g081125.1.1,6,random
Solyc01g086800.4.1,8,random
Solyc01g088480.3.1,10,random
Solyc01g090420.4.1,4,random
Solyc01g090900.3.1,1,random
Solyc01g091190.3.1,16,random
Solyc01g091410.3.1,7,random
Solyc01g094500.3.1,8,random
Solyc01g094700.5.1,0,random
Solyc01g095800.3.1,9,random
Solyc01g095905.1.1,6,random
Solyc01g096320.3.1,9,random
Solyc01g096570.3.1,5,random
Solyc01g096700.4.1,5,random
Solyc01g097500.4.1,11,random
Solyc01g097830.2.1,16,random
Solyc01g098350.3.1,1,random
Solyc01g098630.3.1,10,random
Solyc01g098940.3.1,8,random
Solyc01g099310.4.1,1,random
Solyc01g100620.3.1,2,random
Solyc01g100810.3.1,8,random
Solyc01g100910.3.1,1,random
Solyc01g103180.4.1,10,random
Solyc01g103670.4.1,16,random
Solyc01g105130.5.1,9,random
Solyc01g105260.1.1,9,random
Solyc01g105350.3.1,10,random
Solyc01g105550.1.1,11,random
Solyc01g105710.3.1,5,random
Solyc01g107990.3.1,4,random
Solyc01g108730.3.1,5,random
Solyc01g109100.2.1,11,random
Solyc01g109730.1.1,1,random
Solyc01g109750.2.1,3,random
Solyc01g109810.2.1,9,random
Solyc01g110320.4.1,11,random
Solyc01g110540.3.1,14,random
Solyc01g150155.1.1,9,random
Solyc01g160630.1.1,10,random
Solyc01g161050.1.1,1,random
Solyc01g161360.1.1,5,random
Solyc02g005410.4.1,1,random
Solyc02g005560.1.1,13,random
Solyc02g005601.1.1,1,random
Solyc02g005606.1.1,16,random
Solyc02g014380.3.1,8,random
Solyc02g014660.1.1,9,random
Solyc02g021160.2.1,1,random
Solyc02g021210.1.1,16,random
Solyc02g024040.1.1,16,random
Solyc02g030317.1.1,16,random
Solyc02g031740.3.1,16,random
Solyc02g031940.3.1,13,random
Solyc02g032290.1.1,15,random
Solyc02g037550.3.1,14,random
Solyc02g038790.3.1,8,random
Solyc02g044040.3.1,0,random
Solyc02g062313.1.1,16,random
Solyc02g063133.1.1,1,random
Solyc02g064630.4.1,12,random
Solyc02g064850.2.1,6,random
Solyc02g064880.1.1,16,random
