target,hogs_with_deepest_levels
Solyc00g025300.1.1,HOG:C0228078->Pentapetalae HOG:C0231346->Pentapetalae HOG:C0237888->Mesangiospermae HOG:C0231226->Pentapetalae 
Solyc00g052530.2.1,
Solyc00g107050.2.1,
Solyc00g500125.1.1,HOG:C0185649->asterids 
Solyc00g500188.1.1,
Solyc00g500342.1.1,
Solyc00g500371.1.1,HOG:C0675693->Eukaryota 
Solyc01g005380.4.1,HOG:C0259272->Embryophyta 
Solyc01g005690.4.1,HOG:C0181150->Solanaceae HOG:C0182771->lamiids HOG:C0222139->Pentapetalae HOG:C0179252->Solanoideae HOG:C0185078->asterids HOG:C0179313->Solanoideae HOG:C0179253->Solanoideae HOG:C0180629->Solanaceae HOG:C0182853->lamiids 
Solyc01g005780.1.1,HOG:C0221482->Pentapetalae 
Solyc01g005800.3.1,HOG:C0257187->Tracheophyta 
Solyc01g006140.4.1,HOG:C0675738->Eukaryota 
Solyc01g006170.5.1,HOG:C0264520->Viridiplantae 
Solyc01g006555.2.1,HOG:C0260646->Embryophyta 
Solyc01g006600.3.1,HOG:C0246208->Magnoliopsida 
Solyc01g007240.3.1,HOG:C0666550->Eukaryota 
Solyc01g007790.4.1,
Solyc01g008090.4.1,HOG:C0663960->Eukaryota 
Solyc01g009970.3.1,
Solyc01g016300.1.1,
Solyc01g020150.4.1,HOG:C0664707->Eukaryota HOG:C0259518->Embryophyta 
Solyc01g057390.2.1,HOG:C0179506->Solanoideae HOG:C0258350->Embryophyta 
Solyc01g060070.3.1,
Solyc01g060180.4.1,HOG:C0258650->Embryophyta 
Solyc01g065647.1.1,HOG:C0663044->Eukaryota 
Solyc01g066760.2.1,HOG:C0181888->Solanaceae HOG:C0246703->Magnoliopsida HOG:C0181692->Solanaceae HOG:C0230547->Pentapetalae HOG:C0181734->Solanaceae HOG:C0181563->Solanaceae HOG:C0181785->Solanaceae 
Solyc01g068100.4.1,
Solyc01g068320.3.1,HOG:C0231193->Pentapetalae 
Solyc01g079360.4.1,HOG:C0247971->Spermatophyta 
