target,hogs_with_deepest_levels
Solyc01g065840.4.1,HOG:C0178595->Solanum HOG:C0181807->Solanaceae HOG:C0178418->Solanum 
Solyc01g095320.4.1,HOG:C0237664->Mesangiospermae 
Solyc01g101070.3.1,HOG:C0664487->Eukaryota 
Solyc01g102950.3.1,HOG:C0666665->Eukaryota 
Solyc01g102960.3.1,HOG:C0246276->Magnoliopsida 
Solyc01g103760.3.1,HOG:C0664187->Eukaryota 
Solyc01g104740.3.1,HOG:C0666324->Eukaryota 
Solyc02g030450.3.1,HOG:C0669858->Eukaryota 
Solyc02g062130.5.1,HOG:C0890647->LUCA 
Solyc02g079020.4.1,HOG:C0179555->Solanoideae HOG:C0185117->asterids 
Solyc02g080130.5.1,HOG:C0667800->Eukaryota 
Solyc03g063760.4.1,HOG:C0665022->Eukaryota 
Solyc03g082420.3.1,HOG:C0260683->Embryophyta 
Solyc03g083190.3.1,HOG:C0245290->Magnoliopsida 
Solyc03g096950.4.1,HOG:C0663179->Eukaryota 
Solyc03g097960.1.1,HOG:C0234766->Mesangiospermae 
Solyc03g113590.3.1,HOG:C0663752->Eukaryota 
Solyc03g113930.3.1,HOG:C0246276->Magnoliopsida 
Solyc03g117440.3.1,HOG:C0662877->Eukaryota 
Solyc04g011440.4.1,HOG:C0884704->LUCA 
Solyc04g014480.3.1,HOG:C0253155->Spermatophyta 
Solyc04g054290.3.1,HOG:C0663490->Eukaryota 
Solyc04g080850.3.1,HOG:C0664018->Eukaryota 
Solyc05g014280.4.1,HOG:C0244097->Magnoliopsida 
Solyc05g055010.4.1,HOG:C0256883->Tracheophyta 
Solyc06g011370.4.1,HOG:C0885105->LUCA 
Solyc06g036290.3.1,HOG:C0884684->LUCA 
Solyc06g076520.1.1,HOG:C0248601->Spermatophyta 
Solyc06g076560.2.1,HOG:C0248601->Spermatophyta 
Solyc06g076670.3.1,HOG:C0244335->Magnoliopsida 
Solyc06g082710.5.1,HOG:C0226397->Pentapetalae 
Solyc06g150138.1.1,
Solyc07g006830.4.1,HOG:C0258970->Embryophyta 
Solyc07g065410.1.1,HOG:C0179390->Solanoideae 
Solyc08g005420.3.1,HOG:C0663055->Eukaryota 
Solyc08g006150.3.1,HOG:C0664721->Eukaryota 
Solyc08g062340.3.1,HOG:C0261474->Streptophytina 
Solyc08g063090.2.1,HOG:C0663225->Eukaryota 
Solyc08g066940.4.1,HOG:C0224136->Pentapetalae HOG:C0225327->Pentapetalae 
Solyc08g067960.3.1,HOG:C0667710->Eukaryota 
Solyc08g078700.3.1,HOG:C0232009->Mesangiospermae 
Solyc09g007270.3.1,HOG:C0663577->Eukaryota 
Solyc09g008970.1.1,HOG:C0233634->Mesangiospermae 
Solyc09g011410.4.1,HOG:C0181043->Solanaceae 
Solyc09g015000.4.1,HOG:C0668296->Eukaryota 
Solyc09g091510.3.1,HOG:C0891576->LUCA 
Solyc10g006610.5.1,HOG:C0885282->LUCA 
Solyc10g011810.4.1,HOG:C0663225->Eukaryota 
Solyc10g012410.3.1,HOG:C0891084->LUCA 
Solyc10g081480.2.1,HOG:C0257214->Tracheophyta 
Solyc10g084400.2.1,HOG:C0231404->Pentapetalae HOG:C0263259->Streptophyta HOG:C0667833->Eukaryota 
Solyc11g020040.2.1,HOG:C0884704->LUCA 
Solyc11g066100.2.1,HOG:C0884704->LUCA 
Solyc11g066830.2.1,HOG:C0663241->Eukaryota 
Solyc11g070060.2.1,HOG:C0668188->Eukaryota 
Solyc11g071830.2.1,HOG:C0662897->Eukaryota 
Solyc12g055930.3.1,HOG:C0664148->Eukaryota 
