target,deepest_level,set
Solyc01g095320.4.1,9,drought
Solyc01g095330.2.1,16,drought
Solyc01g096320.3.1,11,drought
Solyc01g096340.3.1,9,drought
Solyc01g099810.3.1,16,drought
Solyc01g099980.4.1,5,drought
Solyc01g103990.3.1,3,drought
Solyc01g106820.3.1,3,drought
Solyc02g084850.3.1,11,drought
Solyc02g084980.3.1,1,drought
Solyc02g086530.4.1,1,drought
Solyc03g007230.4.1,3,drought
Solyc03g013440.5.1,1,drought
Solyc03g078150.3.1,1,drought
Solyc03g095650.3.1,2,drought
Solyc03g096670.3.1,9,drought
Solyc03g111100.1.1,8,drought
Solyc03g114160.1.1,8,drought
Solyc03g116390.5.1,10,drought
Solyc03g121880.5.1,11,drought
Solyc04g005380.3.1,10,drought
Solyc04g016420.3.1,13,drought
Solyc04g051280.5.1,13,drought
Solyc04g072700.4.1,10,drought
Solyc04g078840.3.1,8,drought
Solyc04g079300.3.1,1,drought
Solyc04g081900.4.1,7,drought
Solyc05g012210.4.1,10,drought
Solyc06g050800.5.1,1,drought
Solyc06g051020.2.1,9,drought
Solyc06g066600.3.1,1,drought
Solyc06g067980.3.1,13,drought
Solyc06g068450.3.1,9,drought
Solyc06g076400.3.1,10,drought
Solyc06g076520.1.1,7,drought
Solyc07g006130.3.1,0,drought
Solyc07g042550.3.1,0,drought
Solyc07g056570.1.1,1,drought
Solyc08g007430.2.1,1,drought
Solyc08g079430.3.1,5,drought
Solyc08g083130.5.1,11,drought
Solyc09g091030.3.1,0,drought
Solyc10g075070.3.1,9,drought
Solyc10g075090.3.1,9,drought
Solyc10g075103.1.1,9,drought
Solyc10g075110.2.1,12,drought
Solyc10g076250.2.1,0,drought
Solyc10g078770.2.1,9,drought
Solyc10g079150.3.1,13,drought
Solyc10g081840.3.1,9,drought
Solyc11g011440.1.1,8,drought
Solyc11g056650.2.1,11,drought
Solyc12g008660.1.1,10,drought
Solyc12g088190.2.1,2,drought
Solyc12g098900.2.1,10,drought
