Solyc02g079020.4.1 IPR015300
Solyc01g102950.3.1 IPR036188
Solyc02g062130.5.1 IPR039261
Solyc02g062130.5.1 IPR015701
Solyc02g062130.5.1 IPR017938
Solyc01g095320.4.1 IPR036533
Solyc01g095320.4.1 IPR040400
Solyc01g104740.3.1 IPR010982
Solyc04g014480.3.1 IPR008978
Solyc03g117440.3.1 IPR027417
Solyc03g117440.3.1 IPR036875
Solyc02g030450.3.1 IPR008803
Solyc02g030450.3.1 IPR027417
Solyc03g097960.1.1 IPR046349
Solyc01g102960.3.1 IPR008978
Solyc03g063760.4.1 IPR027417
Solyc03g063760.4.1 IPR004483
Solyc03g113930.3.1 IPR008978
Solyc03g113590.3.1 IPR002698
Solyc03g113590.3.1 IPR037171
Solyc03g082420.3.1 IPR008978
Solyc03g082420.3.1 IPR044587
Solyc05g014280.4.1 IPR008978
Solyc05g014280.4.1 IPR044587
Solyc04g011440.4.1 IPR043129
Solyc04g011440.4.1 IPR013126
Solyc04g011440.4.1 IPR029048
Solyc04g011440.4.1 IPR029047
Solyc01g065840.4.1 IPR036047
Solyc02g080130.5.1 IPR036869
Solyc02g080130.5.1 IPR044632
Solyc05g055010.4.1 IPR035979
Solyc03g096950.4.1 IPR005828
Solyc03g096950.4.1 IPR036259
Solyc03g096950.4.1 IPR003663
Solyc01g101070.3.1 IPR027417
Solyc01g103760.3.1 IPR008521
Solyc04g080850.3.1 IPR036249
Solyc04g080850.3.1 IPR005746
Solyc04g054290.3.1 IPR011990
Solyc04g054290.3.1 IPR045215
Solyc08g067960.3.1 IPR037275
Solyc08g067960.3.1 IPR037274
Solyc10g006610.5.1 IPR004993
Solyc06g076670.3.1 IPR035979
Solyc11g071830.2.1 IPR036869
Solyc11g071830.2.1 IPR008971
Solyc11g071830.2.1 IPR044713
Solyc11g071830.2.1 IPR036410
Solyc11g066830.2.1 IPR009145
Solyc11g066830.2.1 IPR035979
Solyc06g076560.2.1 IPR008978
Solyc06g011370.4.1 IPR036628
Solyc06g011370.4.1 IPR027417
Solyc07g006830.4.1 IPR012416
Solyc12g055930.3.1 IPR005886
Solyc12g055930.3.1 IPR036291
Solyc06g076520.1.1 IPR008978
Solyc11g070060.2.1 IPR008584
Solyc06g082710.5.1 IPR036612
Solyc06g082710.5.1 IPR045071
Solyc11g020040.2.1 IPR013126
Solyc11g020040.2.1 IPR043129
Solyc11g020040.2.1 IPR029048
Solyc11g020040.2.1 IPR029047
Solyc11g020040.2.1 IPR012725
Solyc09g091510.3.1 IPR011141
Solyc09g091510.3.1 IPR016039
Solyc08g062340.3.1 IPR008978
Solyc11g066100.2.1 IPR013126
Solyc11g066100.2.1 IPR043129
Solyc11g066100.2.1 IPR029048
Solyc11g066100.2.1 IPR029047
Solyc10g084400.2.1 IPR044629
Solyc10g084400.2.1 IPR040079
Solyc10g084400.2.1 IPR036282
Solyc10g084400.2.1 IPR036249
Solyc10g011810.4.1 IPR036400
Solyc10g011810.4.1 IPR012171
Solyc08g006150.3.1 IPR006840
Solyc08g006150.3.1 IPR036568
Solyc09g007270.3.1 IPR044831
Solyc09g007270.3.1 IPR010255
Solyc09g007270.3.1 IPR002207
Solyc08g078700.3.1 IPR008978
Solyc08g078700.3.1 IPR044656
Solyc08g066940.4.1 IPR000109
Solyc08g066940.4.1 IPR036259
Solyc08g063090.2.1 IPR036400
Solyc08g063090.2.1 IPR012171
Solyc09g015000.4.1 IPR008978
Solyc10g012410.3.1 IPR036412
Solyc06g036290.3.1 IPR020568
Solyc06g036290.3.1 IPR001404
Solyc06g036290.3.1 IPR037196
Solyc06g036290.3.1 IPR036890
Solyc08g005420.3.1 IPR036322
Solyc08g005420.3.1 IPR033010
