target,hogs_with_deepest_levels
Solyc01g007110.3.1,HOG:C0259225->Embryophyta 
Solyc01g067740.3.1,HOG:C0886280->LUCA 
Solyc01g080910.2.1,HOG:C0253275->Spermatophyta 
Solyc01g087180.5.1,HOG:C0245405->Magnoliopsida 
Solyc01g090740.3.1,HOG:C0243645->Magnoliopsida 
Solyc01g095140.5.1,HOG:C0258150->Embryophyta 
Solyc01g096320.3.1,HOG:C0183793->asterids 
Solyc01g099800.4.1,
Solyc01g099810.3.1,TIMEOUT
Solyc01g102960.3.1,HOG:C0246276->Magnoliopsida 
Solyc01g103920.3.1,HOG:C0662873->Eukaryota 
Solyc01g103970.4.1,HOG:C0222508->Pentapetalae 
Solyc01g104740.3.1,HOG:C0666324->Eukaryota 
Solyc01g105660.4.1,HOG:C0244600->Magnoliopsida 
Solyc01g107700.4.1,HOG:C0670617->Eukaryota 
Solyc01g108080.4.1,HOG:C0227001->Pentapetalae 
Solyc01g112230.4.1,HOG:C0256107->Tracheophyta 
Solyc02g077040.4.1,HOG:C0668528->Eukaryota HOG:C0663362->Eukaryota 
Solyc02g077980.3.1,HOG:C0180705->Solanaceae 
Solyc02g079930.3.1,HOG:C0684244->Eukaryota 
Solyc02g081550.3.1,HOG:C0662874->Eukaryota 
Solyc02g082450.3.1,HOG:C0663561->Eukaryota 
Solyc02g083280.5.1,HOG:C0233536->Mesangiospermae 
Solyc02g084850.3.1,HOG:C0184010->asterids 
Solyc02g084980.3.1,HOG:C0667587->Eukaryota 
Solyc02g086530.4.1,HOG:C0662941->Eukaryota 
Solyc02g087890.4.1,HOG:C0180557->Solanaceae 
Solyc02g088610.4.1,HOG:C0885105->LUCA 
Solyc02g091250.1.1,HOG:C0183564->asterids 
Solyc02g091390.3.1,HOG:C0265294->Viridiplantae 
Solyc02g092760.3.1,
Solyc02g093180.3.1,HOG:C0231850->Mesangiospermae 
Solyc03g007230.4.1,HOG:C0233038->Mesangiospermae HOG:C0263348->Streptophyta 
Solyc03g007960.3.1,HOG:C0256814->Tracheophyta 
Solyc03g046380.1.1,HOG:C0260581->Embryophyta 
Solyc03g013160.5.1,HOG:C0662946->Eukaryota 
Solyc03g095650.3.1,HOG:C0264239->Viridiplantae 
Solyc03g096670.3.1,HOG:C0232400->Mesangiospermae 
Solyc03g098100.4.1,HOG:C0662928->Eukaryota 
Solyc03g111100.1.1,HOG:C0244459->Magnoliopsida 
Solyc03g112080.1.1,HOG:C0664095->Eukaryota 
